item,variant,eval,ccc_mean,ccc_std,mae_mean,scrambled_label_ccc,canary_feature_ccc,sid_shuffle_selfnorm_ccc,error
10,self_norm_only,5split,0.5061333333333333,0.04293827611299218,0.4993666666666667,0.0406977323857762,0.4967361874088712,-0.0518153517971655,
9,self_norm_only,5split,0.1816333333333333,0.013116994913300666,0.3719333333333333,-0.031513620163859384,0.19683519742719724,0.04148393134129656,
10,self_norm_plus_v2,5split,0.5348,0.04639590499171235,0.4898666666666667,0.02884762245962089,0.572966333851561,0.5203805706928198,
9,self_norm_hy_residual_cccv2,5split,0.2971333333333333,0.08344404645562731,0.3616,-0.007903354320632192,0.2860985818727533,0.2821273304000694,
9,self_norm_plus_item,5split,0.1541,0.016935957801868393,0.3845,-0.03904107219028638,0.17613645049316004,0.03304420205728037,
9,self_norm_cccv2,5split,0.23186666666666667,0.03573535442045532,0.35603333333333337,-0.12352934921944093,0.24374387738267236,0.23272014518863024,
9,self_norm_plus_v2,5split,0.19923333333333335,0.054550058559903386,0.37410000000000004,-0.0579891860661058,0.20921846343935194,0.17285830023808244,
9,self_norm_hy_residual,5split,0.3083666666666667,0.022521150552807522,0.3722666666666667,0.011826668250908279,0.31744672692084136,0.33413541254931006,
10,self_norm_cccv2,5split,0.4684,0.05133913387141106,0.5130333333333333,0.001910830513718069,0.505372851344796,0.46917025063914025,
11,self_norm_plus_item,5split,0.18743333333333334,0.052070230351793985,0.3976,-0.1367498708735366,0.25020109861525813,0.09077929391463231,
10,self_norm_hy_residual_cccv2,5split,0.5034666666666667,0.02669486009619745,0.5502333333333334,0.03690929366635017,0.5375038365625059,0.4872534333034091,
11,self_norm_plus_v2,5split,0.17046666666666666,0.044808803698479706,0.4010666666666667,-0.09920299768128361,0.19427933508891954,0.07250837376805981,
10,self_norm_hy_residual,5split,0.5411999999999999,0.008864912107103318,0.5039333333333333,0.09872423253224387,0.5325883620736379,0.4619911145106643,
11,self_norm_only,5split,0.19943333333333335,0.03184926303002246,0.40713333333333335,-0.12392912516864563,0.2212045047967242,-0.08525226054765135,
10,self_norm_plus_item,5split,0.5117999999999999,0.0429390265376382,0.4977666666666667,0.009161073248085325,0.521595554357545,0.15362436038939134,
11,self_norm_cccv2,5split,0.09656666666666665,0.11902241618936979,0.42250000000000004,-0.0633498316558994,0.2115318900017572,-0.0468228046036005,
11,self_norm_hy_residual,5split,0.18043333333333333,0.04515280230014031,0.42343333333333333,-0.12399866800361513,0.19360857854617716,0.1022324057122584,
11,self_norm_hy_residual_cccv2,5split,0.12366666666666669,0.10543068286266996,0.43346666666666667,-0.09378223404662231,0.16846283053591424,0.03396831214437675,
12,self_norm_only,5split,0.5914,0.01632258149517617,0.5153666666666666,-0.06910977063285842,0.5892337678896384,0.1712185613043315,
12,self_norm_cccv2,5split,0.5991666666666666,0.03761607221506376,0.5293666666666667,-0.09933184841098107,0.6021002577762299,0.5795244873033744,
12,self_norm_plus_item,5split,0.5787333333333334,0.010691533514369602,0.5204,-0.09137867406677024,0.5722723191609929,0.1204755500452151,
12,self_norm_hy_residual_cccv2,5split,0.5228,0.02824086873073609,0.574,0.04686236361099633,0.534017283300175,0.5215660111904094,
12,self_norm_plus_v2,5split,0.5962333333333334,0.02444999431947219,0.511,-0.13444966638601435,0.5782241945572829,0.5555932281251432,
12,self_norm_hy_residual,5split,0.5268666666666667,0.029607018687391604,0.5772,0.02745553642647108,0.5278813580911371,0.49597512461470583,
14,self_norm_cccv2,5split,0.2843,0.033424641608649545,0.5835,-0.13852277076686834,0.32622111783857716,0.22963205211285073,
14,self_norm_only,5split,0.28596666666666665,0.03832791266021265,0.5766,-0.12023811491707104,0.23516386619083526,-0.14095871721259307,
14,self_norm_hy_residual_cccv2,5split,0.21106666666666665,0.08079275270028177,0.628,-0.08140957241850716,0.14010737471116433,0.14262701160581567,
14,self_norm_hy_residual,5split,0.2713666666666667,0.06726214058112895,0.5828333333333333,-0.007355099670636025,0.1786979219041176,0.21096678973507849,
14,self_norm_plus_item,5split,0.30446666666666666,0.034567164895155766,0.5759,-0.18757399138363237,0.26781762264217573,-0.0606783216155379,
18,self_norm_only,5split,0.4315666666666667,0.0798367640181445,0.9383333333333335,-0.19439689285284353,0.3297518588423729,0.08246959210671088,
18,self_norm_plus_v2,5split,0.46456666666666663,0.05239760384682576,0.9026666666666666,-0.11642178267230346,0.39696858496891185,0.2185387212190193,
14,self_norm_plus_v2,5split,0.3317,0.030437586413292812,0.5678666666666666,-0.1201635603305106,0.3714998087553787,0.2964410282950317,
18,self_norm_plus_item,5split,0.40486666666666665,0.08207254243790807,0.9547333333333333,-0.18507491337239326,0.293024001148742,0.1167615067308869,
18,self_norm_hy_residual,5split,0.4584333333333334,0.07397415464576501,0.9360666666666666,-0.17511851101537815,0.35722720454047346,0.28343000907185284,
18,self_norm_cccv2,5split,0.4607333333333334,0.06968942212097584,0.8957,-0.052023819311721224,0.3757470598892798,0.30684628576883594,
18,self_norm_hy_residual_cccv2,5split,0.4499666666666666,0.0826463281432125,0.9537,-0.09619643235576787,0.35099811620055066,0.38729999664110204,
