variant,seed,ccc_v,ccc_iter5_direct,delta,mae_v,r_v,wall_time_s
V6_calibrated,42,0.7043,0.6579,0.0464,1.75,0.7044,104.7
V6_calibrated,1337,0.6944,0.6773,0.0171,1.798,0.6944,102.6
V6_calibrated,7,0.7127,0.6364,0.0762,1.699,0.7128,110.6
V7_blend_with_iter5,42,0.6579,0.6579,0.0,1.705,0.6631,120.3
V7_blend_with_iter5,1337,0.6762,0.6773,-0.0011,1.676,0.6803,120.1
V7_blend_with_iter5,7,0.6364,0.6364,0.0,1.765,0.64,128.8
