item,arch,ccc_mean,ccc_std,mae_mean,n_valid,wall_s,ccc_per_seed
1,v2_baseline,0.20577070978484485,0.04735352121967035,0.5667050160814707,94,73.2,"[0.20510791804141104, 0.2370371918822474, 0.20925467859669586, 0.1192984084792981, 0.258155351924572]"
1,hy_only_ridge,0.06503244679309998,0.008477724335333465,0.5563895512775834,94,0.0,"[0.07138726411661239, 0.04861206628285598, 0.07105495132221469, 0.06548829292351888, 0.06861965932029802]"
1,hy_residual_v2,0.15845179859960484,0.03365495963020372,0.6065976118171731,94,78.0,"[0.12617864625865563, 0.2145428839657282, 0.13191598288517078, 0.1402190023975717, 0.17940247749089797]"
2,v2_baseline,0.170008241036881,0.057736959311640836,0.797702717344352,94,133.9,"[0.13239242586186883, 0.2067262202977078, 0.0789216977758051, 0.24224258593910225, 0.18975827530992104]"
2,hy_only_ridge,-0.08850211849390632,0.025916702029372456,0.8816372654359375,94,0.0,"[-0.11334801021868651, -0.07607969772747722, -0.0675118336580764, -0.0603089558816315, -0.12526209498365995]"
2,hy_residual_v2,0.08986597893553917,0.06107465970237918,0.8354192862205492,94,139.9,"[0.09193740779047199, 0.1464849105433839, -0.012847595952147097, 0.15615780681441055, 0.06759736548157654]"
3,v2_baseline,0.06970499726763472,0.03166302063093155,2.74055471360412,91,93.0,"[0.03209170342047985, 0.036293655995319904, 0.08277604309589254, 0.08091250263630524, 0.11645108119017612]"
3,hy_only_ridge,-0.041118580143131946,0.034850870875110275,2.6821780271052504,91,0.0,"[-0.06315989648893591, -0.07017195517526868, -0.06492609531194186, -0.029849815625634563, 0.02251486188612131]"
3,hy_residual_v2,0.012127534167481581,0.050155321811437455,2.88547866342795,91,94.3,"[0.1011740814799963, -0.046274207966425514, -0.022382168952814523, 0.018495190573618835, 0.009624775703032799]"
