ts,target,tag,feature_file,n,pdcor_median,pdcor_ci_lo,pdcor_ci_hi,delta_iimb_median,delta_iimb_ci_lo,cohort_pdcor,cohort_perm_p,pdcor_passes,perm_passes,delta_iimb_passes,downstream_baseline_ccc,downstream_stacked_ccc,downstream_delta_ccc
20260515T073153Z,t1,stepfunc_all,results/cache_stepfunction_spd_klc_crqa_mfdfa_ph_20260515T072624Z.csv,92,0.0053131809747656,0.005140487058565,0.0053962053654239,-0.1216036710542204,-0.1255886970172684,0.0051690462518102,0.3176823176823177,True,False,False,0.717,0.0,-0.717
20260515T073211Z,t3,stepfunc_all,results/cache_stepfunction_spd_klc_crqa_mfdfa_ph_20260515T072624Z.csv,95,0.0038591394061159735,0.003710375442432197,0.003901500811662254,0.10072430964237222,0.09732910819375273,0.0037515700800151283,0.33766233766233766,True,False,True,0.3784,0.0,-0.3784
