sid,coh_mean_axial_Acc_Z_coh_f1,coh_std_axial_Acc_Z_coh_f1,coh_mean_axial_Acc_Z_coh_f2,coh_std_axial_Acc_Z_coh_f2,coh_mean_axial_Acc_Z_coh_int,coh_std_axial_Acc_Z_coh_int,coh_mean_bif_Gyr_Y_coh_f1,coh_std_bif_Gyr_Y_coh_f1,coh_mean_bif_Gyr_Y_coh_f2,coh_std_bif_Gyr_Y_coh_f2,coh_mean_bif_Gyr_Y_coh_int,coh_std_bif_Gyr_Y_coh_int,coh_mean_bish_Gyr_Y_coh_f1,coh_std_bish_Gyr_Y_coh_f1,coh_mean_bish_Gyr_Y_coh_f2,coh_std_bish_Gyr_Y_coh_f2,coh_mean_bish_Gyr_Y_coh_int,coh_std_bish_Gyr_Y_coh_int,coh_mean_bith_Gyr_Y_coh_f1,coh_std_bith_Gyr_Y_coh_f1,coh_mean_bith_Gyr_Y_coh_f2,coh_std_bith_Gyr_Y_coh_f2,coh_mean_bith_Gyr_Y_coh_int,coh_std_bith_Gyr_Y_coh_int,coh_mean_biw_Gyr_Y_coh_f1,coh_std_biw_Gyr_Y_coh_f1,coh_mean_biw_Gyr_Y_coh_f2,coh_std_biw_Gyr_Y_coh_f2,coh_mean_biw_Gyr_Y_coh_int,coh_std_biw_Gyr_Y_coh_int,coh_mean_cerv_Acc_Z_coh_f1,coh_std_cerv_Acc_Z_coh_f1,coh_mean_cerv_Acc_Z_coh_f2,coh_std_cerv_Acc_Z_coh_f2,coh_mean_cerv_Acc_Z_coh_int,coh_std_cerv_Acc_Z_coh_int,coh_mean_lblsh_Acc_Z_coh_f1,coh_std_lblsh_Acc_Z_coh_f1,coh_mean_lblsh_Acc_Z_coh_f2,coh_std_lblsh_Acc_Z_coh_f2,coh_mean_lblsh_Acc_Z_coh_int,coh_std_lblsh_Acc_Z_coh_int,coh_mean_lblsh_Gyr_Y_coh_f1,coh_std_lblsh_Gyr_Y_coh_f1,coh_mean_lblsh_Gyr_Y_coh_f2,coh_std_lblsh_Gyr_Y_coh_f2,coh_mean_lblsh_Gyr_Y_coh_int,coh_std_lblsh_Gyr_Y_coh_int,coh_mean_lblw_Acc_Z_coh_f1,coh_std_lblw_Acc_Z_coh_f1,coh_mean_lblw_Acc_Z_coh_f2,coh_std_lblw_Acc_Z_coh_f2,coh_mean_lblw_Acc_Z_coh_int,coh_std_lblw_Acc_Z_coh_int,coh_mean_lblw_Gyr_Y_coh_f1,coh_std_lblw_Gyr_Y_coh_f1,coh_mean_lblw_Gyr_Y_coh_f2,coh_std_lblw_Gyr_Y_coh_f2,coh_mean_lblw_Gyr_Y_coh_int,coh_std_lblw_Gyr_Y_coh_int,coh_mean_lbrsh_Acc_Z_coh_f1,coh_std_lbrsh_Acc_Z_coh_f1,coh_mean_lbrsh_Acc_Z_coh_f2,coh_std_lbrsh_Acc_Z_coh_f2,coh_mean_lbrsh_Acc_Z_coh_int,coh_std_lbrsh_Acc_Z_coh_int,coh_mean_lbrsh_Gyr_Y_coh_f1,coh_std_lbrsh_Gyr_Y_coh_f1,coh_mean_lbrsh_Gyr_Y_coh_f2,coh_std_lbrsh_Gyr_Y_coh_f2,coh_mean_lbrsh_Gyr_Y_coh_int,coh_std_lbrsh_Gyr_Y_coh_int,coh_mean_lbrw_Acc_Z_coh_f1,coh_std_lbrw_Acc_Z_coh_f1,coh_mean_lbrw_Acc_Z_coh_f2,coh_std_lbrw_Acc_Z_coh_f2,coh_mean_lbrw_Acc_Z_coh_int,coh_std_lbrw_Acc_Z_coh_int,coh_mean_lbrw_Gyr_Y_coh_f1,coh_std_lbrw_Gyr_Y_coh_f1,coh_mean_lbrw_Gyr_Y_coh_f2,coh_std_lbrw_Gyr_Y_coh_f2,coh_mean_lbrw_Gyr_Y_coh_int,coh_std_lbrw_Gyr_Y_coh_int,coh_f_gait_mean,coh_f_gait_std,coh_n_recordings
NLS056,0.8880143307454349,0.047045438382792355,0.8337533604346763,0.05352184056528732,0.7874691348482451,0.03651930399026935,0.7269130311528045,0.040326234906873065,0.04510495436276713,0.03931353944370775,0.47488054281759656,0.09794713596044136,0.10331896349778981,0.06386322575144301,0.03635548592222398,0.03129798124586478,0.10214109591045668,0.016464727004701703,0.18632394729637897,0.10065168532630132,0.06938171256242592,0.04230077121288028,0.2704968113286042,0.09210505818052342,0.08768884719050463,0.10635121770810005,0.04909765172441059,0.030574994902227003,0.2609144908944509,0.12278368443479658,0.340244259928821,0.13417808160196457,0.40444477429769476,0.1841839914979834,0.28084098175325173,0.005289936249270072,0.3687854874762124,0.07691130111911389,0.3518757063771917,0.1664456317599112,0.21335249566811787,0.059354357603068814,0.251348812999773,0.0857091675594668,0.05994949810628432,0.05189172168304041,0.14541752300928495,0.03956327908716342,0.1189802408548134,0.06147166502819754,0.07686361743635238,0.03503426293877906,0.13496900828207206,0.04577102981268058,0.14494647583161874,0.07222193670650087,0.1503454635763795,0.029349348520453615,0.2468835570582708,0.042404006505784506,0.15213847642708442,0.04857589890473876,0.400874490105038,0.126867309683495,0.14337809100575596,0.015914853302131635,0.19132270699989035,0.11184523697157632,0.047857062305448964,0.022380479991918414,0.1460927828044464,0.04574404607605592,0.21742143017577228,0.16233619900836554,0.13249352603126718,0.10570805244355677,0.13814625861295807,0.08024757321355318,0.07535336813996756,0.11842043651351267,0.09066487087899792,0.07846228037416038,0.17781218943094027,0.0754957625237257,1.806640625,0.21283686247757194,4.0
NLS035,0.8527422174886375,0.2464528499954177,0.8924296790979357,0.11571371606529683,0.6724849917366018,0.11460729159651148,0.7504029759078648,0.3618963757217221,0.41033345234928315,0.28588502965090423,0.604755272689425,0.2943784959977053,0.16321374909720698,0.07852523090367658,0.4740286177514057,0.19627007530773288,0.33327549025752157,0.0973935258336279,0.2972410824454612,0.11052426992435467,0.5044087520395455,0.20417683871258985,0.3400178623863011,0.13874626432840975,0.21099710592408444,0.11224979981533777,0.10527560009208696,0.09923851120524638,0.2779430436999373,0.0895026215497413,0.3024352038219208,0.201511475011761,0.3027035906368642,0.08523753123430715,0.2210758464091304,0.08312000132766513,0.5836358064091407,0.27826434672790923,0.537612922849137,0.13909887087270645,0.3405953136118626,0.11635762063081093,0.17264683903627182,0.07308670689100052,0.5719071895253195,0.22395570914626442,0.18810354347819935,0.010959832746676617,0.4555314078748349,0.1650686373098881,0.347932762170589,0.22958898452278198,0.2776172420002007,0.09871381965516814,0.3495789742029808,0.12537125233918026,0.1555133404441596,0.1289035307107845,0.2413452020468502,0.09136202525059713,0.7439113528484598,0.23885131467185677,0.6289379194673237,0.21861711253890684,0.42965951617734666,0.12494709167892414,0.27388548244908095,0.08089261834019039,0.7145015610484255,0.25862969807992076,0.24729956336710918,0.03515783541029356,0.3883721574381783,0.17652661253475663,0.2617534085146376,0.09741127634848883,0.28721955872239585,0.08272067907297181,0.28335361826809763,0.13876815385935504,0.264789730617515,0.19410247074406806,0.2053921875150487,0.030811288892285044,1.796875,0.5152697639950359,5.0
NLS022,0.9259110283176574,0.10235799985826771,0.8174517798538921,0.09568219125546533,0.629669300094423,0.04721498570308391,0.7732905187151362,0.33539193744734563,0.5386766017074377,0.2342523446526403,0.6297518222154471,0.2952177657105358,0.16273799136647993,0.1088005075203762,0.12666814495999335,0.11198582558269211,0.16163168968347905,0.0796615846662999,0.2433544372757887,0.15589047263240904,0.3237966713862296,0.2335669191647889,0.2796433636550178,0.1269040444129244,0.35246870301692673,0.19239385875134715,0.17528768075060125,0.09000168290414558,0.3674583815503001,0.08230212647923663,0.581342754086735,0.15108223237617982,0.5040969606724273,0.17105468061947868,0.32060658073455905,0.07142890379064833,0.4875263087726798,0.1794727894541242,0.6006742102026562,0.1949346229087418,0.2561786840009789,0.06518383361611188,0.2182536043607267,0.11864653348455367,0.21638791703661867,0.11473584606608446,0.20938509364095684,0.061604491778404276,0.35259200990599593,0.14364481454154127,0.17325026453297832,0.17642135975414608,0.17564929416405678,0.06750341540803878,0.43358441731068914,0.22386170125492,0.15138195430345733,0.1323928681993402,0.20905087697393004,0.10335348733216425,0.685865979785477,0.19679391872045646,0.6682086272209433,0.21172717864839796,0.3890697712612154,0.09360208512039268,0.6766308614970864,0.1721553730322059,0.46297483424026115,0.1646219341557804,0.33373903116161563,0.07566412399523792,0.25876109421052174,0.1474967130232247,0.10048391062091136,0.09105155160226121,0.15831650369345013,0.05204063939696943,0.3954584752548942,0.25041578711772744,0.3361067863730445,0.2130442840520645,0.20551437098264108,0.1267082285675496,2.03125,0.5740991584648074,5.0
NLS005,0.917448938153289,0.03398356554053902,0.8310553054283624,0.19109420238994915,0.7078522342267457,0.05211584027491982,0.8099482956825004,0.1357632491183559,0.3697995654783559,0.24900359320011806,0.5311067700872363,0.1788082191158687,0.236709893965969,0.1599384429887955,0.1010646503953245,0.06943727245912805,0.19012430906613115,0.08247453952800819,,,,,,,0.2571347349537464,0.13748237502426083,0.10609052898536842,0.030180349636423503,0.28592378523440787,0.1328384053799425,0.6100504491210669,0.21321538141863552,0.35549550944434155,0.18692612161528938,0.29417640105359394,0.09918724466060357,0.36573592732080895,0.04180625977789693,0.42802496786375216,0.21670410768950274,0.18459651310378927,0.0496692575262485,0.26979604128381107,0.11144289795546229,0.07980917528334949,0.019499927226151893,0.16640226929013183,0.07250939999595742,0.3096628282406718,0.15783917614490997,0.117471428934288,0.1064195421592057,0.17248310995189334,0.08964898578884578,0.5030245415999051,0.24733430928085978,0.08781274644589576,0.09188862214627275,0.26507031180480856,0.1114550822096773,0.17523100196457359,0.1311340866463632,0.2692120693955609,0.17187325392689873,0.13672935945521858,0.02889713635235291,0.22993184138339787,0.15843787825188838,0.09053943605355164,0.0818107364040253,0.1412625821374218,0.048705758821537416,0.12977454173328037,0.06397831653583924,0.112832562553895,0.06415288165930035,0.10552027969528124,0.06223374712677467,0.34580122146996917,0.1323753800324214,0.21699946199929765,0.11431283664332839,0.19033759676118336,0.07083520715810869,1.5625,0.21395412402545552,5.0
NLS002,0.8876846900075795,0.03721139260845833,0.6921003992591814,0.3248120646549132,0.5967426563195425,0.07714398614753365,0.7496620726370977,0.2988591179337985,0.5738154067528327,0.29080033827457785,0.5646318486666705,0.2340554419125143,0.27091982148594396,0.18480561343879992,0.27753111477592474,0.18829812318460443,0.22371027168093333,0.09340889782132608,0.5252564400713486,0.24157953196528814,0.22700038572857872,0.11823936188321431,0.35052385357235993,0.12306593836203167,0.1576103086379732,0.1514279005769609,0.0936746979670782,0.06703036341355026,0.27432547371350424,0.12545923470148185,0.7230909742468276,0.07955108004266942,0.4031643529600257,0.2092821680580887,0.42395485744414485,0.07175971123593435,0.31006909950875666,0.11418977627201622,0.39135483188088993,0.17013551197593532,0.17207568440102686,0.042521410444069596,0.36845186632973387,0.19282411182350323,0.3131192761045143,0.12381216989561845,0.23092191102861656,0.03163701399555564,0.15214074689476956,0.11375328358986411,0.297577262451363,0.1974260849556566,0.10251564804383595,0.045542689161631005,0.2896683444723681,0.19255305296355044,0.19947697457508576,0.2171190360233019,0.21669284752477774,0.08957517904114991,0.6298643370170893,0.04078907098435828,0.5306459947511234,0.2284545216834347,0.3268999925522552,0.019633462965816268,0.6309040867361176,0.10669971378689742,0.7207738965570198,0.16563321812435852,0.40871000210083713,0.0396303645780904,0.1651197076071352,0.11546727448319961,0.20704438635076133,0.12829846572653977,0.11749726734088106,0.0363071325336796,0.36781058150681384,0.20863236882662073,0.26712048761332674,0.15798570555204416,0.20204308710610652,0.0913287721386592,1.6796875,0.36225072248030094,5.0
NLS102,0.9590541799361667,0.05277738463944856,0.9062036908594837,0.0650083318833486,0.8020413746320564,0.06930729716820876,0.7246800340762263,0.3587697115058551,0.47831531693131035,0.26350372981666514,0.529359800140428,0.256714802532698,0.5139146318198089,0.18253320804078998,0.25651372534428274,0.1792464350530018,0.2536646825838918,0.09273881297038955,0.2969381603217417,0.07110473880370338,0.3329028273825717,0.22102221377104628,0.29089539845101137,0.15779375090934414,0.10098110853896314,0.09428605482290955,0.11172569809915425,0.1385982407688791,0.15500038431951912,0.09545511993258822,0.7039826393610817,0.1171187817116571,0.39439078171497755,0.16239076350558532,0.4000012032535336,0.06975686206442097,0.5170647508065385,0.2646597187795778,0.4859509051950372,0.2551452642009779,0.2667685821586943,0.11302220443040487,0.33447157738299504,0.1304737652835264,0.18991250612188595,0.09228781907708604,0.1830955580622909,0.049367828780892686,0.6271853205948619,0.30851633139653856,0.20081085273027344,0.15946209760552307,0.31898964855877576,0.15756085727631836,0.38726594534502773,0.181202958238439,0.11343267243974726,0.06405865375195695,0.19354203160593403,0.05913544946033597,0.5391753002208973,0.2850891336407433,0.3919535872982967,0.21425012463199034,0.27949097709241366,0.0686447991433775,0.3859614142147637,0.19936707377242663,0.15767826264539872,0.09668972600671438,0.2564967525232735,0.0906503054443856,0.42135749750201806,0.21518716258287035,0.14170922527869975,0.09593856691997552,0.21075935710665378,0.08221841927629585,0.18401118416407072,0.14591106734073966,0.09274406734803942,0.10753193109853416,0.14213647636664212,0.09029252315623512,1.6015625,0.5152697639950359,5.0
NLS121,0.8957299519294126,0.03658455913288191,0.7714408541977027,0.038787648946535906,0.6858164011720893,0.053288056248868454,0.7046632646462057,0.3372465895068894,0.46286386332954155,0.2351658593735168,0.4686006269734384,0.23199720742823782,0.0661617229465925,0.029451110489034333,0.1812411467917617,0.09761016699922968,0.10001656212953922,0.042774017345438085,0.5580350824769288,0.2665963660438176,0.506245023383753,0.2119581035049311,0.3468339506228089,0.1368536641305649,0.24442062618361515,0.10572066079728398,0.3296446536605782,0.1550769163803885,0.36144528920224195,0.12197948865595397,0.6787163630590373,0.12370650839211521,0.7053239617269126,0.08171143717418025,0.44273687851751337,0.10508776285101018,0.4592853898148972,0.14604171600871085,0.6157287553487234,0.061689262128824446,0.20346969871897494,0.03955107751493609,0.31372464957497165,0.07524356388218433,0.6287093630086591,0.09625810631435236,0.15926016720429947,0.014801249700848547,0.12743866422991956,0.016835906523829887,0.36351567670110785,0.0560905373252265,0.08138862230922807,0.01863080124956236,0.32609901639001293,0.08265478502986325,0.2009206077701179,0.08990062265878468,0.13297178636931328,0.01631311893083003,0.4337118392918023,0.10741932050687224,0.6185853318688032,0.06967235381255393,0.22108541192365572,0.037507029242779315,0.25632649947222047,0.10501815721598808,0.25337515136838323,0.09744472047283355,0.2629875586848498,0.08252510970683273,0.5216349747494349,0.13787745827634904,0.42955387852291277,0.052018596481698896,0.23120599842168008,0.06846139158295489,0.5397352494274137,0.058353393414117445,0.4827369489229014,0.002095279061177227,0.24027174466447668,0.022309383496923546,1.5234375,0.48475287679651785,5.0
NLS036,0.91463393610297,0.04504430427697706,0.7535218919155086,0.09562489134162032,0.6887844346901486,0.018341955453603537,0.7509849237129431,0.2043577029694636,0.3858079773278102,0.18911218303179372,0.5368080766032135,0.15492047356930724,0.21666004101670153,0.08138331106312255,0.28314881023329375,0.11135577051668515,0.16506613999545292,0.03186305277555485,0.16958923503446455,0.09310897631555955,0.3272073602707274,0.1554076354595612,0.18684730733596108,0.02201775203965922,0.08753302605717635,0.06638113987904652,0.09856624026347513,0.057668955064015405,0.07999937150454389,0.02986887776745084,0.402898774427045,0.07059091217787705,0.4787024276579703,0.12117444018200586,0.24287081121708173,0.030821641287695375,0.49040943383316665,0.11637208560024452,0.44936997669306444,0.16476457035044242,0.3041934851121222,0.07717907869386693,0.7042562117960868,0.04816245300456829,0.5308424443058206,0.2242734715257312,0.4289321805733158,0.050533872501473474,0.07222250074354851,0.026663167814015107,0.07938155928895385,0.04718123222614103,0.07343861939835503,0.03627310230341524,0.0639049944625627,0.021613153844760147,0.08845223355862379,0.03468400055297151,0.0900247694346727,0.016336111367331894,0.4386975993783766,0.2288538198639312,0.3459665879301336,0.10714406247807441,0.24312899712135455,0.08114398642856675,0.3693945843759513,0.09913375926343404,0.35681617535843446,0.07028066390200316,0.19568379175544243,0.05518197921950927,0.21357286657411195,0.1005183157174226,0.08433836816777363,0.08016217001642055,0.1317506144536768,0.05950642548112446,0.29316076754051634,0.17004591236267513,0.40691690367382705,0.23610843367682485,0.12823114060344187,0.049202850944735255,1.640625,0.15625,5.0
NLS101,0.8801872313289001,0.11659401420611157,0.43612126344179475,0.12077269078440331,0.6150689460285086,0.10047252212316916,0.7006286317722832,0.331698091475213,0.2411190336388215,0.2626225118838077,0.5798680803103007,0.26703408765606157,0.26560881180007384,0.07058693287304244,0.08469362071933421,0.12167500940289827,0.3387118662772274,0.15430259927317644,0.4042674143996625,0.20039078165786706,0.5489805732716271,0.2147404606835987,0.28600628347468815,0.09933230089107035,0.1521414846217354,0.13321348577689152,0.12753172307865487,0.10178043502149008,0.39565360160012103,0.1930645029239185,0.15007502168365977,0.07875455667426838,0.10455039623929456,0.09598278020978207,0.17914801012304887,0.06048381190298285,0.4161727711132087,0.12935656666744239,0.1538314206455597,0.05562904445561539,0.23535147328413503,0.07690672347909591,0.173699707556148,0.07825983468482949,0.20427406648618468,0.1151349554626034,0.19124350651686134,0.09544514798343672,0.24759085022555277,0.10566767971098848,0.08448761970121241,0.07101644465589681,0.13897782666756164,0.060965031322686866,0.06168173318271183,0.05943825161155815,0.13747005115178323,0.1338362700484173,0.11342281041425104,0.03484870363564719,0.11582283788149186,0.07788037028792463,0.25172909182671044,0.1845730539296521,0.10102697790079307,0.06306924217484752,0.06033314774588794,0.061794868022439824,0.13451015876261294,0.11702503151592514,0.11593506169070371,0.055945763828111374,0.18537953720531214,0.04744915754034421,0.05268949412873143,0.01989660142601563,0.11643068421350393,0.03683212205613467,0.2814240678391092,0.14463282165992478,0.0913251190192073,0.07287469476593289,0.18405887583706648,0.06036615969776761,1.640625,0.34053897996411514,5.0
NLS069,0.9102069801644435,0.08811122180754774,0.8735739702450704,0.09372926061017331,0.6703499514774676,0.08766926704105908,0.6821935849314318,0.3366769227843838,0.07789017666273426,0.059328574108366804,0.4743250650917955,0.2444011985981268,0.10581073004249057,0.05792628306487481,0.1515731246890744,0.13962179682083864,0.14330316746083266,0.05673063232042151,0.05923492751539846,0.06079814944540716,0.4117790633379344,0.2204564340869573,0.13946831449466407,0.06896440080237408,0.0860209695230999,0.05061628536451406,0.0805649785728476,0.0732261694255058,0.23932780405620208,0.1087058691573,0.5684456444516142,0.17141849679295806,0.4747462508191063,0.08395144015715461,0.28368941136448234,0.07400458403913919,0.10460486782272402,0.0497690216952369,0.09535578499282966,0.04833468243664375,0.17689216316959774,0.05272957151273942,0.3838019692227804,0.16174586802476246,0.07434566221821093,0.055117309712904086,0.27792575817326576,0.10711269865534317,0.34466739901396015,0.07534961170674048,0.28667954208715524,0.1900913052632239,0.2451223905936093,0.022338334246393688,0.07729718740013336,0.04656515359127549,0.23089316673504393,0.13255859732216102,0.175863017285902,0.0745771757166571,0.3743917110658034,0.19955250118422962,0.06565951003707894,0.031694855645788625,0.21111874569247974,0.11869325234447986,0.13469939621966773,0.06049916853896793,0.23556384915874212,0.18730197911333007,0.1094937917373636,0.04184586791481807,0.055824420624411744,0.047363336111871615,0.07566983344082703,0.07518616268817122,0.10260009672306454,0.055152756769392686,0.07949401969018292,0.08034024529974951,0.18269683849867285,0.12845738332635565,0.17637816972751122,0.09178868311657874,1.4453125,0.4384754750125713,5.0
