model,label,target,status,source,policy,policy_note,discard_frac,retained_frac,score_threshold,retained_n,ccc,mae,r
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.0,1.0,4.5773914554985256,93,0.7365943676137859,1.7310042704168862,0.7405701806544314
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.1,0.9,3.710785915953468,84,0.782024947998541,1.4513957958114614,0.784625136217981
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.2,0.8,2.70724857383683,74,0.8454406944785305,1.2056046359021124,0.8486425634341828
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.3,0.7,2.3481880753036832,65,0.892420922148443,1.0220957654320835,0.8949746140497291
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.4,0.6,1.8729869849911518,56,0.9281879880829585,0.8375238408750916,0.9298382154700205
t1_iter34_hybrid,T1 iter34 hybrid candidate,T1_items_9_14,candidate_caveated,results/lockbox_t1_iter34_hybrid_20260506_141720.json,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.5,0.5,1.501020975656419,46,0.953329400845825,0.6392061753603958,0.9539872964122411
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.0,1.0,20.699045911381475,95,0.3783671177953899,7.528022830280761,0.4140570278396842
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.1,0.9,10.829593283871155,86,0.23177398263066873,7.445196461523588,0.2938440495272426
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.2,0.8,7.040065040267795,76,0.06868754947100147,7.263962158747461,0.09829813048069644
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.3,0.7,5.625439015714523,66,0.03595516731147812,7.11680283153393,0.05847768903848737
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.4,0.6,4.518916670854576,57,-0.01793887065281107,7.3899987903211475,-0.03440450934491902
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.5,0.5,3.608443961460967,48,0.010758228591281109,6.9161987383924055,0.023930494830039603
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.0,1.0,23.549352596063677,95,0.3783671177953899,7.528022830280761,0.4140570278396842
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.1,0.9,15.131574640164722,86,0.4898011996257878,6.418784277885317,0.5161193445130741
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.2,0.8,12.81535147697912,76,0.6038647423210687,5.440417993005059,0.6431124516824996
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.3,0.7,10.504053689281683,66,0.6952190508358874,4.498742492713773,0.723334879082042
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.4,0.6,8.13698788736021,57,0.7794409277926521,3.7401208646668236,0.7940425612936526
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.5,0.5,6.714381201970479,48,0.848266647645428,2.9984213927427636,0.856151714531723
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.0,1.0,23.9898378909963,95,0.37708496765212285,7.6797754818480035,0.4067329830627762
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.1,0.9,11.24420160495042,86,0.22030408522842712,7.585493582459686,0.27269042227743717
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.2,0.8,8.366731049936284,76,0.03949979796781898,7.458459462053792,0.054300033964757334
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.3,0.7,5.197531738335293,66,0.04344460303777632,7.194767794167225,0.07422912136330641
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.4,0.6,4.723103834985199,57,-0.02487504780401669,7.361848480383409,-0.04900411161389162
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,prediction_tail_distance,deployable_proxy_discards_predictions_farthest_from_prediction_median,0.5,0.5,3.474929204069838,48,0.05498420016848803,7.094588095005739,0.1424375659505347
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.0,1.0,24.237316038611397,95,0.37708496765212285,7.6797754818480035,0.4067329830627762
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.1,0.9,14.900752078892847,86,0.4684399004270773,6.590343839460581,0.5031322350495776
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.2,0.8,12.914434490409334,76,0.5924466461120449,5.620041633041337,0.627546763434222
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.3,0.7,10.341237452487341,66,0.7159262947819012,4.648530893774705,0.7341896216022219
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.4,0.6,8.604023061124163,57,0.7648757938176235,3.8619895609636874,0.7760141177988548
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,oracle_abs_error_upper_bound,not_deployable_uses_true_error_for_diagnostic_ceiling_only,0.5,0.5,6.876480476476271,48,0.8343613564512362,3.147591160494855,0.8399709688175707
