item,variant,eval,ccc_mean,ccc_std,mae_mean,scrambled_label_ccc,canary_feature_ccc,sid_shuffle_cache_ccc,error
9,v2_plus_self_norm,5split,0.19923333333333335,0.054550058559903386,0.37410000000000004,-0.0579891860661058,0.20921846343935194,0.17285830023808244,
9,v2_plus_interactions,5split,0.20783333333333334,0.018693017115727704,0.37423333333333336,-0.000450925316147371,0.22812002899177458,0.17612428344542472,
9,v2_plus_interactions_plus_self_norm,5split,0.21903333333333333,0.03537196001857341,0.3730666666666667,-0.08626575732782348,0.24144678649813617,0.1798508509582485,
10,v2_plus_interactions,5split,0.5524,0.03666906052791647,0.48703333333333326,0.050243143963121115,0.5703130165175102,0.550763597008583,
10,v2_plus_interactions_plus_self_norm,5split,0.5278666666666667,0.04898328513097322,0.4898666666666667,0.024995259458057383,0.563253161672057,0.5262089986689251,
10,v2_plus_self_norm,5split,0.5348,0.04639590499171235,0.4898666666666667,0.02884762245962089,0.572966333851561,0.5203805706928198,
9,cccv2_plus_interactions,5split,0.2398,0.009360555539069244,0.3569,-0.09570879431691351,0.2504879191650972,0.23036368976418378,
11,v2_plus_interactions,5split,0.12170000000000002,0.008451035439518643,0.4089333333333333,-0.08527713413243651,0.12178807968995453,0.1425950812734105,
11,v2_plus_self_norm,5split,0.17046666666666666,0.044808803698479706,0.4010666666666667,-0.09920299768128361,0.19427933508891954,0.07250837376805981,
11,v2_plus_interactions_plus_self_norm,5split,0.18986666666666666,0.04727799582140606,0.40093333333333336,-0.018295735446040077,0.21397826005037437,0.05545129700424798,
12,v2_plus_interactions,5split,0.5750666666666666,0.035242524818116475,0.5329333333333333,-0.1411860644069341,0.5397804261098154,0.5520660984324807,
10,cccv2_plus_interactions,5split,0.4892666666666667,0.017447890671622418,0.5100333333333333,0.024636820622299754,0.5132466926207007,0.5127952040308408,
12,v2_plus_self_norm,5split,0.5962333333333334,0.02444999431947219,0.511,-0.13444966638601435,0.5782241945572829,0.5555932281251432,
12,v2_plus_interactions_plus_self_norm,5split,0.5885666666666666,0.03170324203540633,0.5165333333333333,-0.14740466068614477,0.5657500193871713,0.5445113515849844,
13,v2_plus_interactions,5split,0.1984,0.045196091276421976,0.5837333333333333,0.1305094981873647,0.25863356837303086,0.23162481469476393,
11,cccv2_plus_interactions,5split,0.163,0.044504681401698255,0.4081666666666666,-0.03384279782196325,0.2179729292163845,0.12253085231232967,
13,v2_plus_self_norm,5split,0.23953333333333335,0.027868779824184793,0.5774333333333334,0.12463996952238371,0.26242141035215427,0.11435732485763159,
13,v2_plus_interactions_plus_self_norm,5split,0.21906666666666666,0.022229759832760723,0.5850666666666666,0.1335165244337243,0.20291051850076985,0.13424531880153404,
14,v2_plus_interactions,5split,0.3373,0.0010708252269472634,0.5666000000000001,-0.14215333845357755,0.3386716772532064,0.3224197460728602,
12,cccv2_plus_interactions,5split,0.5923,0.013547939572741923,0.5331,-0.08404529149025924,0.5735425886023039,0.5921609470491638,
14,v2_plus_self_norm,5split,0.3317,0.030437586413292812,0.5678666666666666,-0.1201635603305106,0.3714998087553787,0.2964410282950317,
14,v2_plus_interactions_plus_self_norm,5split,0.32149999999999995,0.01518683640525572,0.5750666666666667,-0.09223023835953874,0.3424796524327598,0.2862803636125742,
18,v2_plus_interactions,5split,0.31906666666666667,0.05687795901948505,0.9820000000000001,-0.15106960632237074,0.24023313932758433,0.23630197344124373,
13,cccv2_plus_interactions,5split,0.11983333333333333,0.04806886264054471,0.6451000000000001,0.1802825211247502,0.18254348833688597,0.1907987786231907,
18,v2_plus_self_norm,5split,0.46456666666666663,0.05239760384682576,0.9026666666666666,-0.11642178267230346,0.39696858496891185,0.2185387212190193,
18,v2_plus_interactions_plus_self_norm,5split,0.45503333333333335,0.04432315672672946,0.9035000000000001,-0.10807811338728443,0.39505288415790374,0.21169724822305525,
14,cccv2_plus_interactions,5split,0.23886666666666664,0.04260362530218395,0.6144,-0.15014007783281078,0.2516217502696745,0.2843921681646998,
18,cccv2_plus_interactions,5split,0.3479666666666666,0.03416912186300503,0.9861666666666666,-0.057090812758758956,0.32934190273368164,0.3631003500100413,
