item,variant,ccc_mean,ccc_std,mae_mean,scrambled_label_ccc,canary_feature_ccc,sid_shuffle_insole_ccc
7,v2_baseline,0.3026333333333333,0.034841099612701994,0.6257333333333334,0.028873926592107576,0.31554319530450736,
7,item_plus_v2,0.29610000000000003,0.0180235031740965,0.6268333333333334,0.04760639993764274,0.23380937464355406,0.29343432740284453
7,insole_only,0.27776666666666666,0.0320338709632303,0.6596000000000001,0.2136389980064429,0.30431954358231833,-0.02653960973344166
7,item_plus_v2_plus_insole,0.27636666666666665,0.037372836243572544,0.6356,-0.02541410212554356,0.2385173534085264,0.2433093100821137
7,hy_residual_item,0.33266666666666667,0.040781722485555824,0.6465,0.017860688147580742,0.37391945780250285,0.35615322256452303
7,hy_residual_plus_insole,0.3061666666666667,0.03719554931559538,0.6514333333333333,0.011550352406379652,0.2871488634689549,0.2805370129471809
12,v2_baseline,0.5412333333333333,0.023925486178736043,0.5374666666666666,-0.05699355914844458,0.5406173688674625,
12,item_plus_v2,0.5628333333333333,0.0443337593964489,0.5387666666666666,-0.08088893418758344,0.5064390517228987,0.5388391736217368
12,insole_only,0.36843333333333333,0.05417886016601762,0.6521666666666667,-0.08874663349446538,0.30156885773503966,0.02493815817501544
12,item_plus_v2_plus_insole,0.5550666666666667,0.03541697646923325,0.5416333333333334,-0.05769542460661983,0.5027520056242278,0.5075546922606072
12,hy_residual_item,0.4725333333333334,0.030111385812605123,0.6004,0.006918757554811641,0.48361327761186934,0.44625789228210816
12,hy_residual_plus_insole,0.5025,0.03707029358754344,0.5788666666666668,0.05312429777302318,0.476885101828917,0.45678537970303057
14,v2_baseline,0.25166666666666665,0.020349829374114056,0.5933,-0.15147314110400886,0.2770144942869374,
14,item_plus_v2,0.3035666666666667,0.02544344491001344,0.5722666666666667,-0.11996741884271976,0.3008573809558564,0.2980914087198587
14,insole_only,0.24056666666666668,0.03637007316767759,0.6175999999999999,-0.08304320801637384,0.19167712027759387,0.036986815240810884
14,item_plus_v2_plus_insole,0.2993333333333333,0.0065035033294029605,0.5689666666666667,-0.20634612705625277,0.272695946766198,0.3130245880132647
14,hy_residual_item,0.21373333333333333,0.035842463953001655,0.6133000000000001,-0.040298622758964245,0.16791111536732756,0.18970400359595363
14,hy_residual_plus_insole,0.2074,0.05243974319794737,0.5928333333333333,-0.060562628654983776,0.19695767695970587,0.20331602927735054
