sid,pl9_z_peak_abs,pl9_z_time_to_peak_s,pl9_z_p95_p5,pl9_z_jerk_int,pl9_pre_quiet_std,pl9_post_stable_std,pl9_rise_duration_s,pl9_shank_L_gyr_y_peak,pl9_shank_R_gyr_y_peak,pl9_shank_LR_asym,pl9_sternum_pitch_pkvel
NLS002,11.996671676635742,0.0,6.2247514724731445,6888.33447265625,2.989403247833252,2.0354881286621094,0.11,0.36576899886131287,0.3618899881839752,0.0053308011246964776,111.02447509765696
NLS005,3.299329996109009,0.0,3.806356906890869,5736.80810546875,0.9259563684463501,1.0592076778411865,0.17,2.899635076522827,2.2817060947418213,0.11926040808653704,46.187591552735796
NLS022,4.758546829223633,0.0,5.577693462371826,11126.2744140625,2.525228261947632,2.0478618144989014,0.07,1.5538009405136108,2.2606680393218994,0.18531200993716312,51.357269287109375
NLS033,5.1967573165893555,0.0,4.182571887969971,3376.8974609375,0.47138965129852295,1.1849170923233032,0.02,0.05000999942421913,0.08161299675703049,0.24010057626037443,36.504364013671875
NLS035,10.819183349609375,0.0,8.003028869628906,9780.0966796875,2.0068955421447754,2.414958953857422,0.07,1.524392008781433,1.4677289724349976,0.018937408535530192,101.11923217773438
NLS036,8.155763626098633,0.0,7.613288402557373,5632.998046875,0.9190588593482971,1.720847249031067,0.22,1.0370179414749146,0.5239409804344177,0.32869323154236546,95.12977600097585
NLS069,2.0841219425201416,0.0,2.757659435272217,1640.482177734375,0.5758035778999329,0.6629853248596191,0.15,1.074841022491455,0.3154729902744293,0.5461841562843687,161.77215576171804
NLS101,7.654789924621582,0.0,10.007452964782715,3918.9208984375,0.42923131585121155,3.1032967567443848,0.08,0.6457369923591614,0.38196098804473877,0.2566666011585951,101.64031982421875
NLS102,5.471055030822754,0.0,7.702726364135742,6960.8876953125,3.2055461406707764,1.360649824142456,0.4,2.169084072113037,2.291524887084961,0.027449343496049192,120.54443359375
NLS121,5.517441749572754,0.0,4.842872142791748,11614.53125,1.6181098222732544,1.5553174018859863,0.03,7.7761969566345215,4.313210964202881,0.2864479161146423,34.090423583984375
NLS124,36.15102767944336,0.0,7.811935901641846,20513.857421875,3.232741594314575,7.730169296264648,0.05,0.9834259748458862,0.8971369862556458,0.045884633745558484,165.58303833007812
NLS127,43.77922058105469,0.0,7.860527038574219,22931.08203125,3.257176160812378,7.171885013580322,0.02,0.7750110030174255,0.9786170125007629,0.11610552042740514,106.13021850585938
NLS130,6.637330055236816,0.0,9.270800590515137,5204.783203125,0.8713737726211548,2.014601945877075,0.1,0.7674810290336609,0.5010629892349243,0.2100185929249605,70.02677917480469
NLS135,11.557809829711914,0.0,8.098759651184082,20286.44140625,2.3787922859191895,2.2157132625579834,0.02,3.0866029262542725,2.6826388835906982,0.07002028792655884,144.2310333251953
NLS139,18.348608016967773,0.0,8.156003952026367,21929.6953125,2.967782974243164,4.302139759063721,0.03,1.7393519878387451,1.4182039499282837,0.10170775832076424,139.23797607421875
NLS140,10.150145530700684,0.0,5.960829734802246,11472.4482421875,1.7668925523757935,2.799683094024658,0.08,1.227905035018921,1.5923479795455933,0.12922344676919015,77.18353271484375
