feature,mean_abs_shap,category,sensor_location,pct_importance
R_Ankle_az_loco,0.012499586982542898,Frequency Content,Right Ankle,0.05960014531581088
dst_wk_stance_%.1,0.01240501584082909,Walkway Distillation,Walkway (distilled),0.05914921411330819
r_hp_LowerBack_g_stride_t,0.012319468952203157,Task Contrasts,Lower Back,0.05874131207618153
R_DorsalFoot_ax_se,0.012236640864966907,Frequency Content,Right Foot,0.05834637374402658
L_Ankle_pi_skew,0.010075951031950659,Signal Shape,Left Ankle,0.04804383909148039
LowerBack_ya_zcr,0.009726110725899842,Movement Quality,Lower Back,0.04637574132896419
R_DorsalFoot_ro_std,0.009494616403755882,Movement Amplitude,Right Foot,0.045271937238570294
ins_R_mn,0.009469660604098453,Insole Pressure,Feet (insole),0.04515294376397531
L_Ankle_gm_iqr,0.008860308642160829,Movement Amplitude,Left Ankle,0.04224745052402439
dv_L_DorsalFoot_gm_rms_rng,0.00859275938381267,Cross-Task Variability,Left Foot,0.04097173039831479
L_MidLatThigh_am_range,0.007705193353401535,Movement Amplitude,Left Thigh,0.03673966541378685
L_Ankle_ax_dom,0.007028664246162645,Frequency Content,Left Ankle,0.0335138601805318
R_DorsalFoot_am_rms,0.006120264261032936,Movement Amplitude,Right Foot,0.029182455375379043
R_Ankle_ax_high,0.005999031167144956,Frequency Content,Right Ankle,0.0286043954744479
Xiphoid_az_high,0.0059660310149408915,Frequency Content,Chest,0.028447045166029472
d_hp_LowerBack_g_stride_t,0.005673328557236794,Task Contrasts,Lower Back,0.027051390330567842
L_Wrist_ay_range,0.005388048817182864,Movement Amplitude,Left Wrist,0.025691128268579937
L_LatShank_az_high_r,0.005046485285042396,Frequency Content,Left Shank,0.024062495564268607
L_DorsalFoot_pi_zcr,0.004616457958726957,Movement Quality,Left Foot,0.022012052523713382
R_Ankle_ay_iqr,0.003930955552141176,Movement Amplitude,Right Ankle,0.018743461081139258
L_LatShank_gm_dom,0.0038702646332469687,Frequency Content,Left Shank,0.01845407651263338
r_tug_LowerBack_ro_rms,0.003316843248112677,Task Contrasts,Lower Back,0.015815269724781346
L_DorsalFoot_am_iqr,0.00329475118082936,Movement Amplitude,Left Foot,0.015709931010610127
R_DorsalFoot_ay_trem,0.002612927431757742,Frequency Content,Right Foot,0.012458880029390242
L_Ankle_gm_rms,0.0025568985619460077,Movement Amplitude,Left Ankle,0.012191724899598851
dst_wk_ss_cop_dist._%.1,0.002222296154875104,Walkway Distillation,Walkway (distilled),0.01059628401724828
R_Ankle_am_iqr,0.0008880277772240758,Movement Amplitude,Right Ankle,0.004234266671446783
Forehead_gm_dom,0.0,Frequency Content,Head,0.0
