item,variant,ccc_mean,ccc_std
9,v2_plus_walk,0.21726666666666664,0.045298442455440874
9,item_plus_v2_plus_walk,0.21483333333333335,0.026501865762411696
9,hy_residual_plus_walk,0.3463,0.09496136056312587
9,item_plus_v2_plus_walk_cccv2,0.24250000000000002,0.01235664463625409
10,v2_plus_walk,0.5347,0.047733077280505035
10,item_plus_v2_plus_walk,0.4844333333333333,0.015536909459591873
10,hy_residual_plus_walk,0.5034,0.004348179695765397
10,item_plus_v2_plus_walk_cccv2,0.4814,0.025176179217665254
11,v2_plus_walk,0.1473,0.043788354616267545
11,item_plus_v2_plus_walk,0.12466666666666666,0.029195585663285166
11,hy_residual_plus_walk,0.13836666666666667,0.01185083213205816
11,item_plus_v2_plus_walk_cccv2,0.0391,0.047726791916770046
12,v2_plus_walk,0.5294666666666666,0.043729496782936875
12,item_plus_v2_plus_walk,0.5247666666666667,0.056020551784342704
12,hy_residual_plus_walk,0.4912666666666667,0.058289983892794356
12,item_plus_v2_plus_walk_cccv2,0.6053666666666667,0.022249843944521373
13,v2_plus_walk,0.14206666666666665,0.05842033512019214
13,item_plus_v2_plus_walk,0.17366666666666666,0.038719877180705124
13,hy_residual_plus_walk,0.11373333333333334,0.0383703299728087
13,item_plus_v2_plus_walk_cccv2,0.13293333333333332,0.04802584952108835
14,v2_plus_walk,0.3006666666666667,0.02832576369471597
14,item_plus_v2_plus_walk,0.29716666666666663,0.0300856924282771
14,hy_residual_plus_walk,0.2091333333333333,0.043439562101332874
14,item_plus_v2_plus_walk_cccv2,0.2522,0.08316874412902962
18,v2_plus_walk,0.3316333333333334,0.06870236935910985
18,item_plus_v2_plus_walk,0.3062333333333333,0.06288324277756534
18,hy_residual_plus_walk,0.3682666666666667,0.07491107320609475
18,item_plus_v2_plus_walk_cccv2,0.4122666666666666,0.047279335396720155
