seed,ccc_multitask,ccc_iter5_direct,delta,mae_multitask,r_multitask,wall_time_s
42,0.7049,0.6579,0.047,1.972,0.7175,28.1
1337,0.7061,0.6773,0.0288,1.938,0.718,28.0
7,0.7146,0.6364,0.0782,1.877,0.7323,27.8
