policy,seed,n,ccc,mae,r,cal_slope,n_stage2_features,selected_dst_count,selected_cv_count,wall_s
stage2_current,42,95,0.3506,7.7946,0.3797,0.2537,1752,537,37,205.8
stage2_no_dst,42,95,0.3343,7.9882,0.3583,0.2472,1721,0,33,197.3
