item,variant,ccc_mean,ccc_std,mae_mean,n_subjects,error,null_scrambled_label_ccc,null_canary_feature_ccc,null_sid_shuffle_caches_ccc
7,coherence_only,0.19543333333333335,0.03234917137870596,0.6862333333333334,94,,-0.01879527432581627,0.18444081092368897,0.18602911924545723
7,coherence_plus_v2,0.27386666666666665,0.027114612706476596,0.6358333333333334,94,,0.03154299852767708,0.2771619645440615,0.3293628982461271
7,mahalanobis_only,-0.05836666666666666,0.06952895479982103,0.7860999999999999,94,,-0.03167671892503388,0.01954288139128089,-0.06835654354357859
7,mahalanobis_plus_v2,0.2803333333333334,0.02077439663517462,0.6317666666666667,94,,-0.05394895632175758,0.2846161444963736,0.2734935520462799
7,coherence_plus_mahalanobis_plus_v2,0.2543666666666667,0.02062915951322841,0.6485666666666666,94,,-0.004681746631901804,0.31591817135629136,0.29245864100654606
7,late_fusion_coh_mah_v2,0.17306666666666667,0.0314659957555595,0.6392333333333333,94,,-0.0913045139577722,0.19280351085768002,0.18685750810811558
8,coherence_only,0.22966666666666669,0.016656596958029034,0.7866333333333334,94,,0.051231914073021176,0.23506990614024417,-0.07317129311504479
8,coherence_plus_v2,0.22373333333333334,0.02899590009332738,0.7722000000000001,94,,0.03680358466023067,0.23246556663905846,0.2183450073897021
8,mahalanobis_only,0.10273333333333334,0.07593845461219821,0.8392,94,,-0.06702967560717787,0.001414928526813649,0.015138600059077694
8,mahalanobis_plus_v2,0.2290333333333333,0.02124340420512263,0.7719,94,,-0.03836349759706606,0.15859668930489945,0.23748865113306328
8,coherence_plus_mahalanobis_plus_v2,0.2328,0.01688924707222518,0.7786666666666666,94,,-0.02364282688608171,0.2553413003966336,0.23963799128085925
8,late_fusion_coh_mah_v2,0.1032,0.011243071940829455,0.7767,94,,-0.03485031192548227,0.0950732060416316,0.1271056213609033
9,coherence_only,0.18313333333333334,0.0218940377474985,0.3818333333333333,94,,0.023516947800091902,0.20095970302236685,0.13040710797224345
9,coherence_plus_v2,0.1929,0.004618080409289848,0.37203333333333327,94,,0.01991010690719158,0.18260879247531334,0.21680398113693866
9,mahalanobis_only,-0.035366666666666664,0.04962971779981112,0.4445666666666666,94,,0.1532570537472971,0.032535267610356924,-0.0007762945844914929
9,mahalanobis_plus_v2,0.17226666666666665,0.07895721767021822,0.37820000000000004,94,,-0.06919378005040094,0.1981396154043452,0.25969818786148124
9,coherence_plus_mahalanobis_plus_v2,0.1455,0.048297066853657554,0.3903666666666667,94,,-0.03007411161258313,0.18587878638716965,0.20426646924247804
9,late_fusion_coh_mah_v2,0.04633333333333333,0.019132055706472202,0.38776666666666665,94,,-0.04222059737641483,0.04928612709986651,0.09682162954013769
10,coherence_only,0.32613333333333333,0.03165968344054557,0.5837333333333333,94,,0.08349796594744763,0.29511791058474796,0.0022000234705634074
10,coherence_plus_v2,0.5303,0.02528886447958207,0.4863,94,,-0.026175467996244584,0.5482520658457151,0.5109916956018061
10,mahalanobis_only,0.1646,0.03554218151248832,0.6402333333333333,94,,0.08765499629786351,0.11437752155162965,0.04861615946469144
10,mahalanobis_plus_v2,0.5098333333333332,0.016592434688402085,0.4841,94,,0.07168503748750307,0.5043591726425865,0.48631419608968574
10,coherence_plus_mahalanobis_plus_v2,0.5177999999999999,0.009165515079179487,0.48523333333333335,94,,0.04511306057251725,0.521197747058832,0.4989836066363152
10,late_fusion_coh_mah_v2,0.42756666666666665,0.02727762615934328,0.5051666666666667,94,,-0.07435458630238061,0.39037484756721563,0.3777744656495473
11,coherence_only,0.20686666666666667,0.14083343195262818,0.42440000000000005,94,,0.05999288615149851,0.30715517543159976,0.19828723578268456
11,coherence_plus_v2,0.13746666666666665,0.05372338617606137,0.4041333333333334,94,,-0.1021466493507103,0.15521661859280395,0.25709587137955947
11,mahalanobis_only,0.10246666666666666,0.029748986910854994,0.4517333333333333,94,,-0.00906551436872336,0.08297570944260568,0.004101659903415319
11,mahalanobis_plus_v2,0.0902,0.04834052820012072,0.4197,94,,-0.04202594472221788,0.09026073047665241,0.19344677110145497
11,coherence_plus_mahalanobis_plus_v2,0.09956666666666665,0.06537605745904909,0.41296666666666665,94,,-0.11085037666188899,0.12868277492553779,0.21312068949017837
11,late_fusion_coh_mah_v2,0.00723333333333333,0.0528908519710377,0.3667666666666667,94,,-0.028448651013347162,0.017747008228760727,0.05034174239331439
12,coherence_only,0.5320333333333332,0.02020467492658293,0.5957,94,,-0.10525743260040876,0.5183374333863838,-0.15644883111922628
12,coherence_plus_v2,0.5856666666666667,0.03434203773155511,0.5246666666666667,94,,-0.087801543888072,0.5403863418057394,0.5516664670677557
12,mahalanobis_only,0.13806666666666667,0.030535807759998024,0.7653666666666666,94,,-0.15813855541445634,0.18023523860613624,0.04949388243369544
