sid,state,side_label,rows_used,raw_mag_mean_mps2,unit,median_raw_mag,mean_raw_mag,meta_n_chunks,meta_n_windows,mag_chunk_kurt_mean,mag_chunk_kurt_std,mag_chunk_skew_mean,mag_chunk_skew_std,mag_spec_dom_freq_mean,mag_spec_dom_freq_std,mag_spec_entropy_mean,mag_spec_entropy_std,mag_spec_high_logp_mean,mag_spec_high_logp_std,mag_spec_high_ratio_mean,mag_spec_high_ratio_std,mag_spec_loco_logp_mean,mag_spec_loco_logp_std,mag_spec_loco_ratio_mean,mag_spec_loco_ratio_std,mag_spec_trem_logp_mean,mag_spec_trem_logp_std,mag_spec_trem_ratio_mean,mag_spec_trem_ratio_std,mag_win_iqr_mean_mean,mag_win_iqr_mean_std,mag_win_iqr_std_mean,mag_win_iqr_std_std,mag_win_jerk_rms_mean_mean,mag_win_jerk_rms_mean_std,mag_win_jerk_rms_std_mean,mag_win_jerk_rms_std_std,mag_win_mean_mean_mean,mag_win_mean_mean_std,mag_win_mean_std_mean,mag_win_mean_std_std,mag_win_p50_mean_mean,mag_win_p50_mean_std,mag_win_p50_std_mean,mag_win_p50_std_std,mag_win_range_mean_mean,mag_win_range_mean_std,mag_win_range_std_mean,mag_win_range_std_std,mag_win_rms_mean_mean,mag_win_rms_mean_std,mag_win_rms_std_mean,mag_win_rms_std_std,mag_win_std_mean_mean,mag_win_std_mean_std,mag_win_std_std_mean,mag_win_std_std_std,mag_win_zcr_mean_mean,mag_win_zcr_mean_std,mag_win_zcr_std_mean,mag_win_zcr_std_std,off_updrs3,on_updrs3,off_valid_subitems,on_valid_subitems,off_invalid_subitems,on_invalid_subitems,target_updrs3
hbv002,pre,MAS,65892,9.984898274776846,g_converted_to_mps2,1.0112666715674872,1.0181762655725293,1.0,10.0,0.8259382064945711,0.0,0.4375273048684373,0.0,2.94921875,0.0,9.039337484937306,0.0,-0.9410664403136372,0.0,0.09553152806647708,0.0,-0.33233912221821554,0.0,0.3880378079980886,0.0,-0.2191727203789239,0.0,0.503547500373329,0.0,1.448738603320028,0.0,0.15307356881525566,0.0,28.286608665330153,0.0,1.6383524190335288,0.0,9.981589517028539,0.0,0.062253174719269846,0.0,9.932878048928725,0.0,0.09039562511793896,0.0,7.361034835684109,0.0,1.6176913689722539,0.0,10.041941749021365,0.0,0.06696799856306587,0.0,1.0968627777988538,0.0,0.07724057245081428,0.0,0.41669449081803006,0.0,0.02791726212578853,0.0,37.0,19.0,33,33,0,0,37.0
hbv002,post,MAS,39675,10.794581024365533,g_converted_to_mps2,1.0387468626337113,1.100740928284943,1.0,6.0,0.5485019913550624,0.0,0.5775745720218884,0.0,3.134765625,0.0,7.528717650578539,0.0,-0.298098974162357,0.0,0.05264059958684938,0.0,0.30445774477786836,0.0,0.21080336846922085,0.0,0.8349901551484857,0.0,0.7151711005000221,0.0,4.657995835937679,0.0,0.6270536956644894,0.0,64.21845452898027,0.0,5.929670819554847,0.0,10.87338320334083,0.0,0.2667116577487386,0.0,10.341067981088417,0.0,0.20574106582215151,0.0,18.230339056383034,0.0,5.806326040335841,0.0,11.273766568089655,0.0,0.29756478259251323,0.0,2.9695397743084264,0.0,0.258057290813466,0.0,0.3263772954924875,0.0,0.010005094377498722,0.0,37.0,19.0,33,33,0,0,19.0
hbv014,pre,LAS,68540,9.922082715444393,g_converted_to_mps2,0.9653533660894716,1.0117708611446719,1.0,11.0,0.7431573166972463,0.0,0.9545393267687265,0.0,3.45703125,0.0,8.317033513605544,0.0,-0.2395151440399079,0.0,0.14449387935889207,0.0,-0.5848306956354822,0.0,0.06524299654473435,0.0,0.49424163944342037,0.0,0.7827196460155054,0.0,2.6795566676079803,0.0,0.5975271345247231,0.0,52.963268790608254,0.0,7.706177491713692,0.0,9.92611429665137,0.0,0.04221413075407289,0.0,9.389190375048162,0.0,0.1509457142060913,0.0,10.461960972900558,0.0,1.571636416592444,0.0,10.113370796010933,0.0,0.0825591609211954,0.0,1.9131282249245194,0.0,0.31224702502011803,0.0,0.46699043860980427,0.0,0.020644924660047893,0.0,29.0,17.0,33,33,0,0,29.0
hbv014,post,LAS,21635,10.092614038568678,g_converted_to_mps2,1.0092119585276176,1.0291602166457128,1.0,3.0,1.267322229763736,0.0,0.6936239348710567,0.0,3.6328125,0.0,6.275123067906501,0.0,-0.4406653656343664,0.0,0.06517540982032753,0.0,-0.2911847197001824,0.0,0.09195268532563473,0.0,0.6691095823406703,0.0,0.8391869442493692,0.0,3.031796097846033,0.0,0.9179241754337757,0.0,53.23813924102046,0.0,6.152016860595901,0.0,10.110592881525042,0.0,0.03815997105467842,0.0,9.973593400484402,0.0,0.10275179109843557,0.0,14.10775041885482,0.0,4.031827273774287,0.0,10.331819828176016,0.0,0.10808195727046535,0.0,2.0961854489870504,0.0,0.3723501517358748,0.0,0.41457985531441294,0.0,0.04683061747349861,0.0,29.0,17.0,33,33,0,0,17.0
hbv015,pre,LAS,6748,9.93674364160227,g_converted_to_mps2,0.9962183376472701,1.0132658595547175,1.0,1.0,6.237892873379552,0.0,1.6083589546747377,0.0,3.762962962962963,0.0,7.289594668897131,0.0,-0.8298042904685023,0.0,0.200018140315693,0.0,-1.2198445151363049,0.0,0.08147589886173164,0.0,-0.28413677479225813,0.0,0.7026465217462387,0.0,0.9270146474000622,0.0,0.0,0.0,27.41247613701002,0.0,0.0,0.0,9.902267491081432,0.0,0.0,0.0,9.765667345348646,0.0,0.0,0.0,6.3799985604330764,0.0,0.0,0.0,9.942015761941038,0.0,0.0,0.0,0.8881305904853727,0.0,0.0,0.0,0.5091819699499165,0.0,0.0,0.0,58.0,38.0,33,33,0,0,58.0
hbv015,post,LAS,7316,11.933583436038864,g_converted_to_mps2,1.108233962587706,1.2168868508653685,1.0,1.0,3.3879414013481863,0.0,1.3950461836761083,0.0,3.3879781420765025,0.0,6.453893134266479,0.0,-0.023444262813163735,0.0,0.046137487350899384,0.0,0.5939311228641617,0.0,0.19117421907215743,0.0,1.1408944785144481,0.0,0.6735854236176871,0.0,6.354100958811291,0.0,0.0,0.0,105.02437822461017,0.0,0.0,0.0,12.05764699978099,0.0,0.0,0.0,11.001687548982336,0.0,0.0,0.0,35.30278477017759,0.0,0.0,0.0,13.068879045457782,0.0,0.0,0.0,5.040709110182613,0.0,0.0,0.0,0.34390651085141904,0.0,0.0,0.0,58.0,38.0,33,33,0,0,38.0
hbv017,pre,LAS,12069,10.01083454765814,g_converted_to_mps2,0.993751050776762,1.020821029368657,1.0,2.0,0.8212119533607916,0.0,0.6842036510996529,0.0,3.7613918806959403,0.0,5.993511683054161,0.0,-0.5448871095413192,0.0,0.04825331025617866,0.0,-0.2626742151763103,0.0,0.09241447621713406,0.0,0.7011141331870046,0.0,0.8502142011885635,0.0,1.9032028938670766,0.0,0.026514051650590176,0.0,43.71754299040578,0.0,4.34577881869005,0.0,10.006098326087141,0.0,0.04837217152651707,0.0,9.716270384547773,0.0,0.036782671740602346,0.0,11.121369174088779,0.0,0.7554750801117027,0.0,10.174587037562343,0.0,0.08169989571795,0.0,1.8354179768375147,0.0,0.18919178071890186,0.0,0.4006677796327212,0.0,0.018363939899833037,0.0,56.0,38.0,32,33,0,0,56.0
hbv017,post,LAS,37057,10.232620425336352,g_converted_to_mps2,0.9620601269230376,1.043436894896458,1.0,6.0,0.6040722770671318,0.0,0.8961684992313919,0.0,3.525390625,0.0,7.854777122632674,0.0,-0.23704743269062373,0.0,0.04894553588157332,0.0,-0.10423466281419268,0.0,0.06645472384714148,0.0,1.0170502562851877,0.0,0.8786396077886275,0.0,4.659996240800566,0.0,0.3787705747142678,0.0,88.74114273274813,0.0,4.560869213647502,0.0,10.240259467286815,0.0,0.054345331300297756,0.0,9.377466832843242,0.0,0.10654082891924341,0.0,19.97447559555685,0.0,2.861003210886194,0.0,10.806788370749674,0.0,0.0453075355423315,0.0,3.4513287285345338,0.0,0.10578420557017679,0.0,0.38369504730105736,0.0,0.013611101623411252,0.0,56.0,38.0,32,33,0,0,38.0
hbv022,pre,LAS,17973,9.904328947288315,g_converted_to_mps2,0.99795996718748,1.0099604806216511,1.0,2.0,1.717091287666996,0.0,0.9008155201322863,0.0,3.515016685205784,0.0,7.4274533291287845,0.0,-0.9513772564102561,0.0,0.08302091180447932,0.0,-0.9319255470902434,0.0,0.086823883680578,0.0,0.029501258290565224,0.0,0.7944489832381969,0.0,1.3220396662328495,0.0,0.04990655153370316,0.0,27.89712451621268,0.0,0.9880640276823947,0.0,9.889995565525535,0.0,0.028885534139662106,0.0,9.784320815918214,0.0,0.013952718284752308,0.0,7.599556112912834,0.0,1.051341157256727,0.0,9.956986416826435,0.0,0.02901922552077174,0.0,1.1530680536091964,0.0,0.002832642685602238,0.0,0.39482470784641066,0.0,0.02921535893155261,0.0,34.0,24.0,33,33,0,0,34.0
hbv022,post,LAS,11058,9.902292367242005,g_converted_to_mps2,0.9952138770968306,1.0097528072524262,1.0,1.0,1.5167242307914535,0.0,0.9529418004453178,0.0,3.4177215189873413,0.0,7.43661562456762,0.0,-0.9857714454069957,0.0,0.08460227338098683,0.0,-0.7320524983884457,0.0,0.15174031465930687,0.0,-0.03969128121256825,0.0,0.7472435886630149,0.0,1.490727814249606,0.0,0.0,0.0,28.765447847896237,0.0,0.0,0.0,9.92937664302894,0.0,0.0,0.0,9.782323909665507,0.0,0.0,0.0,8.30190971132345,0.0,0.0,0.0,10.002679460540087,0.0,0.0,0.0,1.2087497140359031,0.0,0.0,0.0,0.4023372287145242,0.0,0.0,0.0,34.0,24.0,33,33,0,0,24.0
