item,variant,eval,ccc_mean,ccc_std,mae_mean,scrambled_label_ccc
4,v2_baseline,5split,0.0768,0.0065792603434327,1.2496666666666665,0.0369486123626381
4,item_dedicated,5split,0.0013,0.0215175897039298,1.3841,0.007224937832398
4,item_plus_v2,5split,0.0763666666666666,0.033608067814473,1.2562,0.0033621191550702
4,lr_multitask,5split,0.0532999999999999,0.0470226186708765,1.2809,0.007904300732255
5,v2_baseline,5split,0.1727,0.0561060305730735,1.3296666666666668,-0.1459573938201369
5,item_dedicated,5split,0.0875333333333333,0.0126839355967389,1.4003333333333332,-0.0432383653995363
5,item_plus_v2,5split,0.1378333333333333,0.0238825366231385,1.3376333333333337,-0.1764375721408162
5,lr_multitask,5split,0.1600333333333333,0.015735381222653,1.318633333333333,-0.2093133470262311
6,v2_baseline,5split,-0.0499999999999999,0.0455058238031133,1.4451666666666665,0.0106924189542222
6,item_dedicated,5split,-0.0255666666666666,0.0396001122332865,1.4216,0.1122482024397451
6,item_plus_v2,5split,-0.0381,0.0291905235764394,1.4162333333333332,-0.0487052013419875
6,lr_multitask,5split,-0.0206999999999999,0.0400552118955823,1.4018,-0.0522436078136839
7,v2_baseline,5split,0.2780333333333333,0.0538134018830088,0.6278333333333332,-0.0024914841595928
7,item_dedicated,5split,0.2581666666666666,0.0643247144485608,0.6548333333333334,-0.0883474673116599
7,item_plus_v2,5split,0.3032333333333333,0.0358108301433456,0.6169,0.0775418015093713
7,lr_multitask,5split,0.2914,0.0281433236606245,0.6281,-0.0497367781236998
8,v2_baseline,5split,0.2222333333333333,0.0499577376945309,0.7753333333333333,0.0290550026121236
8,item_dedicated,5split,0.1501333333333333,0.0421901515627627,0.7971666666666666,-0.0630079416183011
8,item_plus_v2,5split,0.2340666666666666,0.0372556334293516,0.7702666666666667,-0.0099278464988229
8,lr_multitask,5split,0.2124666666666666,0.0435968143586457,0.7723666666666666,-0.0418727889418614
9,v2_baseline,5split,0.2032666666666666,0.0326975364345525,0.3675666666666666,0.0189932020803813
9,item_dedicated,5split,0.1534,0.0279414864791883,0.4218333333333333,0.0060951838806685
9,item_plus_v2,5split,0.1828333333333333,0.0460705497639821,0.3748,0.0889681180232288
9,hy_residual_item,5split,0.3232,0.0842098964888727,0.3676333333333333,0.13869548256717
10,v2_baseline,5split,0.5201666666666667,0.0351293166584391,0.4872,0.0430822657525998
10,item_dedicated,5split,0.3739333333333333,0.0106271141687456,0.5554666666666667,-0.0319368197345146
10,item_plus_v2,5split,0.5255666666666666,0.0368826366856938,0.4896333333333333,-0.0323831795748179
11,v2_baseline,5split,0.0899666666666666,0.0647601901033514,0.4174,-0.1101409195231401
11,item_dedicated,5split,0.3194666666666666,0.0336864298428247,0.3748333333333333,0.0935424280818785
11,item_plus_v2,5split,0.1450666666666666,0.0719110716247659,0.4005333333333333,-0.1119368320193927
11,hurdle_fog,5split,0.1527,0.0521695313377454,0.2806666666666667,-0.1331788824380163
12,v2_baseline,5split,0.5333333333333333,0.02241522300184,0.5495666666666668,-0.0862105474459722
12,item_dedicated,5split,0.1566333333333333,0.078107888348247,0.7408,-0.0391328241430697
12,item_plus_v2,5split,0.5549666666666666,0.0448543073616,0.5431333333333334,-0.0607505264965155
13,v2_baseline,5split,0.1498,0.0360211049247521,0.6244333333333333,0.2376007486956925
13,item_dedicated,5split,0.1007333333333333,0.1330353921163671,0.6321333333333333,-0.0277272941348353
13,item_plus_v2,5split,0.1596666666666666,0.0359227257070259,0.6187333333333334,0.235935539090766
13,hy_residual_item,5split,0.0908666666666666,0.0463184148644527,0.6586666666666666,0.1999440751075247
14,v2_baseline,5split,0.2687333333333333,0.0211896725369275,0.5827,-0.1521589002073683
14,item_dedicated,5split,0.2191333333333333,0.0476727968086156,0.6301666666666667,0.0639254430925271
14,item_plus_v2,5split,0.2969333333333333,0.0182088501070831,0.5769333333333333,-0.0988471294816784
14,hy_residual_item,5split,0.1739333333333333,0.0167821995644856,0.6200333333333333,-0.0411186208443465
15,v2_baseline,5split,-0.1003333333333333,0.0228406557601912,1.1655333333333333,-0.0375011710824009
15,item_dedicated,5split,0.0219666666666666,0.0279530956345724,1.1722,-0.0873363724181337
15,item_plus_v2,5split,-0.088,0.0299457286881896,1.2274666666666665,-0.0217484389946587
15,lr_multitask,5split,-0.0871666666666666,0.0110339878959915,1.1757000000000002,-0.0446644946820192
16,v2_baseline,5split,0.0659333333333333,0.0324945465510069,0.9216333333333332,0.1474488781415367
16,item_dedicated,5split,-0.158,0.0477161048983115,1.0614666666666666,0.1055767971629556
16,item_plus_v2,5split,0.0624,0.039192856491968,0.9220666666666668,0.1728068272231125
16,lr_multitask,5split,0.0753666666666666,0.0393082123169644,0.9137333333333334,0.1685970165420564
17,v2_baseline,5split,0.23136666666666664,0.024125274897685383,1.2914999999999999,-0.006406363621759081
17,item_dedicated,5split,0.05380000000000001,0.01211638009748236,1.5919333333333334,-0.0928896065991982
17,item_plus_v2,5split,0.19746666666666668,0.051171367862202874,1.364766666666667,0.0466694807089789
17,hy_residual_item,5split,0.18423333333333333,0.01808228107537566,1.3447000000000002,0.0629472185168813
18,v2_baseline,5split,0.3479666666666667,0.07162840839282197,0.9484,-0.05163613925188462
18,item_dedicated,5split,0.16796666666666668,0.04305688743459699,1.1863666666666666,-0.17076505614751525
18,item_plus_v2,5split,0.3351333333333333,0.06813879625848665,0.9724666666666667,-0.11177604985880858
18,hy_residual_item,5split,0.39996666666666664,0.075190173707887,0.9580666666666667,-0.10373856982127731
