n_pd,subsample_idx,seed,ccc,mae,r,wall_s
30,2,42,0.5151704657956677,6.430901262391048,0.5489858763160714,16.3
30,4,1337,0.16237204235991717,7.823070484049769,0.16393006275857994,16.4
30,0,42,0.4298437619397065,9.999657284682133,0.4425604335789753,16.7
30,3,7,0.32954165591190376,10.633855779733857,0.33003351770982325,16.8
30,1,1337,0.49337644576138523,8.881853697899258,0.5028984903475723,17.0
30,0,7,0.7329058348103533,7.036903046790531,0.740720414357037,17.1
30,2,7,0.34227084434853217,8.170696198491012,0.35608010197131384,17.1
30,5,42,0.26718557412519633,9.610687056810956,0.27317891225969093,17.2
30,3,42,0.2795347757646016,10.141861472070103,0.2834588366982859,17.2
30,1,7,0.7471223991455797,6.830282584170978,0.7590577593663164,17.2
30,1,42,0.5811477429004916,7.892804654266592,0.5876616562654641,17.4
30,0,1337,0.5204458451091415,8.54839805813226,0.5284331113279002,17.5
30,4,7,0.45337021342889716,9.32308383589729,0.45761930339108803,17.6
30,3,1337,0.4033551544880608,8.790736321909858,0.4185235408232443,17.6
30,2,1337,-0.0898745756738268,8.981467886347737,-0.09260698517966447,17.6
30,4,42,0.27921959373906613,6.821585436756572,0.32319912068882706,17.6
30,5,7,0.330013778804017,8.924886649651835,0.33919528813528305,15.9
30,5,1337,0.4024285456916542,9.158013380456932,0.4033211977468395,16.3
30,6,42,0.17498735228729165,10.667131430064417,0.17935901994539377,16.3
30,7,7,0.352385630944693,9.320751024136941,0.36492484777235656,15.9
30,6,1337,0.4498451913209772,7.714778282663004,0.47178359067065223,16.6
30,9,1337,0.40431323187110096,7.431521560015121,0.4061822578928957,16.1
30,6,7,0.5063796883003889,8.623522685184476,0.5163034682154964,16.8
30,7,42,0.2590460436972753,10.642320818815756,0.27973711590502165,16.8
30,8,42,0.26967477922443256,8.71477868537159,0.2802011718052657,16.8
30,8,7,0.6741573810250749,7.5000731643376115,0.6765669483917569,16.7
30,8,1337,0.3828162204811086,7.620168715625277,0.40443294618375786,16.9
30,10,42,0.5461703615712277,8.973998457449419,0.55918214317086,16.8
30,9,42,0.06489549128216242,9.790028102088241,0.06888028819528931,16.9
30,7,1337,0.1965935942896302,8.995549139539092,0.2008182655343549,17.4
30,9,7,0.5860415721451786,7.600806464658849,0.5878599999992381,17.0
30,10,1337,0.15583968100022194,11.52907861746798,0.1564873393430958,17.2
30,10,7,0.2591544893065206,7.85964310668638,0.2680567464533336,16.3
30,11,42,0.6885580069142542,7.175653747898013,0.697754769645462,16.3
30,11,1337,0.25582943032218036,10.32587840075023,0.2679950779742436,16.3
30,11,7,0.6051590556426771,8.15564899584648,0.6122143571023229,16.4
30,12,42,0.6930356893868691,8.500263416501902,0.7046649153246691,17.0
30,12,7,0.2720060332754135,9.404490149849936,0.29233609067039923,16.7
30,12,1337,0.3911083681046977,10.747523786024704,0.40122302838745005,16.9
30,13,1337,0.13792557904341704,10.486204822498856,0.14324041614178903,16.7
30,15,1337,0.4838273959875537,8.57250811232222,0.4923295098137224,16.2
30,13,7,0.03344930624575178,9.421298170654763,0.03624196668720354,16.7
30,14,42,0.6490431903781901,7.66434285915627,0.6525834572037167,16.7
30,14,1337,0.13951323863180803,8.037544901590918,0.15705613558189407,16.5
30,14,7,0.5300591229918938,7.686266921099041,0.5640344116489829,16.5
30,13,42,0.21241841268769251,10.86455133377636,0.21655509694679206,17.1
30,15,7,-0.13904593985784602,7.533278222590492,-0.1474642071071517,16.6
30,15,42,0.10377761436037627,9.120304674104295,0.10844922965652355,17.2
30,16,42,0.40303112812106495,7.650155173940326,0.41316908478289294,16.0
30,16,1337,0.3931551066640384,11.194556060921295,0.40023051262233034,16.6
30,16,7,0.4997135807881955,8.1767116959661,0.5042516186275122,16.5
30,17,42,0.3136329759997108,9.727791545029449,0.32444807555901484,16.6
30,18,1337,0.6305811856357747,7.490751267783551,0.6415742528403393,16.1
30,17,1337,0.45402957006549705,10.433491403214656,0.4614801920519442,16.5
30,18,42,0.497591490618537,8.652820926381166,0.5113776261586236,16.9
30,17,7,0.379153626053425,8.380343324015078,0.38915539647793557,17.0
30,19,42,0.037451279485844265,11.136947192758738,0.03977200914460504,17.1
30,20,1337,0.28780922401991393,10.164475568142905,0.287892662420433,16.9
30,18,7,0.3020431612462485,9.574150844207342,0.30989680009771886,17.3
30,20,42,0.5777458807076351,7.285961301988403,0.5979174304010783,17.2
30,19,7,0.34884868297241434,7.434688516459679,0.36977825928682695,17.2
30,19,1337,0.4378806892106764,8.546278861905732,0.4623224562269728,17.5
30,20,7,0.4744122510154786,8.178080058968069,0.47694121881062923,17.3
30,21,42,0.4460765709581349,9.842923514185436,0.4537612011976131,17.3
30,21,1337,0.27567132248949006,9.730429427631107,0.27898050179795303,16.7
30,21,7,0.0060376833506132896,10.383990488509134,0.006264596343117443,16.5
30,22,42,0.4485617356946925,8.615363622823214,0.47982108899312553,16.6
30,22,1337,0.40816339377668526,8.131293292976729,0.4132769710030415,16.8
30,22,7,0.48901658685903554,7.498698246469052,0.5060150220217183,16.3
30,23,7,0.21837470006562712,9.901704723158483,0.2219035537895855,16.0
30,23,42,0.4362901437269192,8.110658525871793,0.4615303366494064,17.0
30,24,7,-0.05951602619906833,10.384979016907625,-0.06538101044708064,16.1
30,23,1337,0.41496271409472557,10.260383962333524,0.42776747992154857,16.9
30,25,42,0.2389606781422885,8.579790911273676,0.2478189978070877,16.6
30,25,1337,0.19917992588757177,9.1655840731615,0.2061793072924151,16.5
30,24,42,0.3762268253014504,7.752463731149378,0.39219783786286827,17.0
30,25,7,0.2268806657108961,12.060662968780454,0.22714355425670596,16.6
30,24,1337,0.2536676299507295,10.084782122217176,0.26584198167076084,17.2
30,26,42,0.37144344225694437,8.448058581669773,0.4061333606989481,16.7
30,26,1337,0.37971535272413554,6.422995331801342,0.413015245386374,17.4
30,26,7,0.4217537652696746,8.814336428884216,0.4317281849580409,16.3
30,27,42,0.3001209825484017,9.364855741122971,0.30699361014349,15.7
30,27,1337,0.3442111870571662,8.094764760252515,0.386770459433934,16.7
30,27,7,0.681553174860226,6.732117086925835,0.6944970700380309,16.4
30,28,42,-0.16490655983998054,8.393799960089773,-0.18926100496486514,16.8
30,28,7,-0.08890425351247531,10.959328706554066,-0.09597715852404931,16.4
30,28,1337,0.17415932677855178,7.969489187670157,0.20385590082516672,16.9
30,29,42,0.2761775299680729,8.416926488493509,0.2922720056991105,16.9
30,29,1337,0.6187492015668427,6.394004319365704,0.6426166373692479,16.7
30,30,1337,0.21224473630257673,9.902010196556933,0.2280273055438962,16.4
30,30,7,0.3550046762349526,9.490412424942296,0.3733490770588463,16.4
30,29,7,0.36387612176960327,7.2114095944324985,0.3992659361396137,17.0
30,31,42,0.39267098448397275,8.82883527710816,0.4024079211235806,16.7
30,30,42,0.423723322086442,8.847798967244206,0.4462074123117836,17.2
30,31,1337,0.04429207605235872,8.854217725816072,0.04442181487074162,16.8
30,31,7,0.1686131443293104,9.689499460532925,0.17217756882620497,17.3
30,32,1337,0.37337266401150315,8.950012179445421,0.3829950891127055,16.0
30,32,42,0.2839797229801027,10.639001242018145,0.2894933457250246,17.0
30,32,7,0.5349119809732923,6.224373162416233,0.5574884148867618,16.4
30,33,42,0.0771433965193536,7.844073622792638,0.07812653300619692,16.4
30,33,1337,0.6658305149498998,6.552084851615291,0.6821781043400821,16.9
30,34,7,0.10942690672899409,9.126930765843548,0.11891446878755639,16.1
30,33,7,0.46399710038555875,8.544131306584726,0.46867512383285215,16.9
30,34,1337,0.7907038110424658,5.948012642074121,0.8039439909115561,16.3
30,35,1337,0.4927198237724787,7.179031826536915,0.4976960688048202,16.2
30,35,42,0.27573902955397533,12.331828380762177,0.2779885031324719,16.3
