seed,fold,null_mode,include_canary,n_train,n_test,lambda_star,inner_scores,correction_mean,correction_std,component_explained_variance
7,0,real,False,73,19,0.0,"{'0.0': 0.7240014693857061, '0.25': 0.7217838755214443, '0.5': 0.7193757715086757, '0.75': 0.716775968243495, '1.0': 0.7139835230110712}",0.024401758426523285,0.09807620657695576,"{'ph_trunk_h1_max': 0.4227072494899748, 'ph_trunk_h1_med': 0.46714844713818654, 'ph_sacrum_h1_max': 0.25127476838793117, 'ph_sacrum_h1_med': 0.5395056909945396, 'mfdfa_delta_alpha': 0.3766783093452952, 'mfdfa_asymmetry': 0.32590486530452645, 'mfdfa_hurst_q2': 0.5509708078842738, 'mfdfa_h_range': 0.33749455462407846}"
7,1,real,False,73,19,0.0,"{'0.0': 0.7002125499643137, '0.25': 0.6968679379330247, '0.5': 0.693293459876942, '0.75': 0.6894936477222062, '1.0': 0.6854734658845697}",0.10566191605134438,0.0031406302606962057,"{'ph_trunk_h1_max': 0.3898709012836571, 'ph_trunk_h1_med': 0.43007970679572166, 'ph_sacrum_h1_max': 0.2450914574976719, 'ph_sacrum_h1_med': 0.5457588450543991, 'mfdfa_delta_alpha': 0.3539941212500273, 'mfdfa_asymmetry': 0.3206519964008834, 'mfdfa_hurst_q2': 0.5338042576765708, 'mfdfa_h_range': 0.310523799464287}"
7,2,real,False,74,18,0.0,"{'0.0': 0.7479343325176662, '0.25': 0.7416739276741842, '0.5': 0.7348754040178078, '0.75': 0.7275460044233313, '1.0': 0.7196951736171827}",-0.016964748507313103,0.14492941927496794,"{'ph_trunk_h1_max': 0.43934936216215675, 'ph_trunk_h1_med': 0.4898142819728501, 'ph_sacrum_h1_max': 0.26974333385299903, 'ph_sacrum_h1_med': 0.5379769226352711, 'mfdfa_delta_alpha': 0.38445797669750176, 'mfdfa_asymmetry': 0.33384466498812543, 'mfdfa_hurst_q2': 0.5417680567311379, 'mfdfa_h_range': 0.352880415409417}"
7,3,real,False,74,18,0.0,"{'0.0': 0.7151069143594078, '0.25': 0.7124566594369673, '0.5': 0.7093454423345102, '0.75': 0.7057743443720278, '1.0': 0.7017461778936942}",-0.26130425836052207,0.20451998895749354,"{'ph_trunk_h1_max': 0.4137162492630773, 'ph_trunk_h1_med': 0.487277263837357, 'ph_sacrum_h1_max': 0.2835232860407227, 'ph_sacrum_h1_med': 0.507701725850535, 'mfdfa_delta_alpha': 0.350660912714251, 'mfdfa_asymmetry': 0.31820022985724383, 'mfdfa_hurst_q2': 0.5251303343237328, 'mfdfa_h_range': 0.32337952328501535}"
7,4,real,False,74,18,0.0,"{'0.0': 0.6886424464839819, '0.25': 0.6856167696080573, '0.5': 0.682389862232533, '0.75': 0.6789639508200551, '1.0': 0.6753416083973344}",0.04523499159614889,0.0036741644640668606,"{'ph_trunk_h1_max': 0.41349885216527676, 'ph_trunk_h1_med': 0.4266317853294306, 'ph_sacrum_h1_max': 0.2520457065864382, 'ph_sacrum_h1_med': 0.5426011728978916, 'mfdfa_delta_alpha': 0.383714804175319, 'mfdfa_asymmetry': 0.3439908149531842, 'mfdfa_hurst_q2': 0.5165940311313855, 'mfdfa_h_range': 0.3544887464034138}"
42,0,scrambled_y,False,73,19,0.0,"{'0.0': -0.017878833070681267, '0.25': -0.0244915517004289, '0.5': -0.03117006518762687, '0.75': -0.03776477718931391, '1.0': -0.04412303857348033}",-0.10877144812543384,1.1583457024549646,"{'ph_trunk_h1_max': 0.4111710197311475, 'ph_trunk_h1_med': 0.4656025483818195, 'ph_sacrum_h1_max': 0.26839860709886953, 'ph_sacrum_h1_med': 0.5363284165793065, 'mfdfa_delta_alpha': 0.3729742614483494, 'mfdfa_asymmetry': 0.3295867614200321, 'mfdfa_hurst_q2': 0.5298949066798297, 'mfdfa_h_range': 0.3399566901561184}"
42,1,scrambled_y,False,73,19,1.0,"{'0.0': -0.055182588375080104, '0.25': -0.05312095612996211, '0.5': -0.049293638938326646, '0.75': -0.04366375800991478, '1.0': -0.036494841917969874}",0.26173715504410283,1.919815653786388,"{'ph_trunk_h1_max': 0.3897618288688439, 'ph_trunk_h1_med': 0.4694997266577779, 'ph_sacrum_h1_max': 0.24446322449824798, 'ph_sacrum_h1_med': 0.5211141511546908, 'mfdfa_delta_alpha': 0.35607217520699386, 'mfdfa_asymmetry': 0.295083240941977, 'mfdfa_hurst_q2': 0.532921945024223, 'mfdfa_h_range': 0.33033396618694644}"
42,2,scrambled_y,False,74,18,1.0,"{'0.0': -0.11004558032050424, '0.25': -0.10276926762942196, '0.5': -0.0911319858634487, '0.75': -0.07540625149705064, '1.0': -0.056711113658564245}",-0.2972117540728233,1.6080528703681836,"{'ph_trunk_h1_max': 0.428534931377282, 'ph_trunk_h1_med': 0.47894162858490946, 'ph_sacrum_h1_max': 0.24982090166980506, 'ph_sacrum_h1_med': 0.554610594158233, 'mfdfa_delta_alpha': 0.3625843178262495, 'mfdfa_asymmetry': 0.35271328570227517, 'mfdfa_hurst_q2': 0.5277094520322575, 'mfdfa_h_range': 0.3476234905491955}"
42,3,scrambled_y,False,74,18,1.0,"{'0.0': -0.050117792154082866, '0.25': -0.04270815599726525, '0.5': -0.033240875377423915, '0.75': -0.022055359416392476, '1.0': -0.009814590342434933}",0.26715771081290257,2.159992945028318,"{'ph_trunk_h1_max': 0.41299777586783265, 'ph_trunk_h1_med': 0.43497337804139036, 'ph_sacrum_h1_max': 0.2519522655728013, 'ph_sacrum_h1_med': 0.5562464066274329, 'mfdfa_delta_alpha': 0.37213661180917207, 'mfdfa_asymmetry': 0.3215827324698731, 'mfdfa_hurst_q2': 0.5518841408048766, 'mfdfa_h_range': 0.31822543891548566}"
42,4,scrambled_y,False,74,18,0.0,"{'0.0': -0.0413982682108567, '0.25': -0.060967026904991194, '0.5': -0.08111135630984906, '0.75': -0.10082953891501648, '1.0': -0.11906572137980105}",0.11988476566860903,1.4161515767129595,"{'ph_trunk_h1_max': 0.4395501224434931, 'ph_trunk_h1_med': 0.45727938365579446, 'ph_sacrum_h1_max': 0.2792250888161429, 'ph_sacrum_h1_med': 0.5064424011465215, 'mfdfa_delta_alpha': 0.3830967791538481, 'mfdfa_asymmetry': 0.33987186450320106, 'mfdfa_hurst_q2': 0.5243159033812482, 'mfdfa_h_range': 0.3421207699750131}"
42,0,sid_shuffle,False,73,19,0.0,"{'0.0': 0.6483156294124495, '0.25': 0.6430722161407123, '0.5': 0.6374989562248089, '0.75': 0.6316063648551637, '1.0': 0.625405898393015}",0.13941796579186447,0.0026803130633785157,"{'ph_trunk_h1_max': 0.43937986581599, 'ph_trunk_h1_med': 0.47896219909538923, 'ph_sacrum_h1_max': 0.25687860526184725, 'ph_sacrum_h1_med': 0.5393577806887586, 'mfdfa_delta_alpha': 0.38111541081167344, 'mfdfa_asymmetry': 0.32952489523695133, 'mfdfa_hurst_q2': 0.539052799071969, 'mfdfa_h_range': 0.3465555933288336}"
42,1,sid_shuffle,False,73,19,0.0,"{'0.0': 0.7277720045510854, '0.25': 0.7262162900020374, '0.5': 0.7245713271008347, '0.75': 0.7228382656358889, '1.0': 0.7210183152377289}",-0.031813941911962317,0.0034297266977166333,"{'ph_trunk_h1_max': 0.39611277406657774, 'ph_trunk_h1_med': 0.47350356438856184, 'ph_sacrum_h1_max': 0.25157194412960726, 'ph_sacrum_h1_med': 0.5147727666914292, 'mfdfa_delta_alpha': 0.3348657223864104, 'mfdfa_asymmetry': 0.31337112601540984, 'mfdfa_hurst_q2': 0.5424422290545216, 'mfdfa_h_range': 0.3250461071482949}"
42,2,sid_shuffle,False,74,18,1.0,"{'0.0': 0.7478658664654831, '0.25': 0.7496628743617361, '0.5': 0.7508832504658495, '0.75': 0.7515207046419726, '1.0': 0.7515716411209237}",-0.3356943281358772,0.003692079524578591,"{'ph_trunk_h1_max': 0.4109378129307584, 'ph_trunk_h1_med': 0.4287161343814654, 'ph_sacrum_h1_max': 0.2694797530957095, 'ph_sacrum_h1_med': 0.5647521647568005, 'mfdfa_delta_alpha': 0.3870274105019216, 'mfdfa_asymmetry': 0.335387333473894, 'mfdfa_hurst_q2': 0.5172951483269053, 'mfdfa_h_range': 0.3360758576602131}"
42,3,sid_shuffle,False,74,18,0.0,"{'0.0': 0.7026771076586795, '0.25': 0.7018404379859793, '0.5': 0.7009398303855103, '0.75': 0.699975768292487, '1.0': 0.6989487683710764}",-0.0534506118714447,0.0009314842807409292,"{'ph_trunk_h1_max': 0.4143052199278698, 'ph_trunk_h1_med': 0.4679072463187818, 'ph_sacrum_h1_max': 0.2737611227375825, 'ph_sacrum_h1_med': 0.5502278569527908, 'mfdfa_delta_alpha': 0.35612422814688277, 'mfdfa_asymmetry': 0.34392496407117196, 'mfdfa_hurst_q2': 0.5358757937668084, 'mfdfa_h_range': 0.3219982699143758}"
42,4,sid_shuffle,False,74,18,0.0,"{'0.0': 0.7413229156845401, '0.25': 0.7406825491613273, '0.5': 0.73953064619445, '0.75': 0.7378763331951544, '1.0': 0.735730645188239}",0.41381674592202394,0.2739750375660622,"{'ph_trunk_h1_max': 0.4150364209416728, 'ph_trunk_h1_med': 0.457907686562019, 'ph_sacrum_h1_max': 0.25575214806980195, 'ph_sacrum_h1_med': 0.4998786732881717, 'mfdfa_delta_alpha': 0.39056060261432196, 'mfdfa_asymmetry': 0.3193909254039559, 'mfdfa_hurst_q2': 0.5290610506324286, 'mfdfa_h_range': 0.35221214396668815}"
42,0,real,True,73,19,0.0,"{'0.0': 0.6483156294124495, '0.25': 0.6452159118765113, '0.5': 0.6418507428973825, '0.75': 0.6382256215995928, '1.0': 0.6343466674455297}",0.1395193728821433,0.003911382623778455,"{'ph_trunk_h1_max': 0.4111710197311475, 'ph_trunk_h1_med': 0.4656025483818195, 'ph_sacrum_h1_max': 0.26839860709886953, 'ph_sacrum_h1_med': 0.5363284165793065, 'mfdfa_delta_alpha': 0.3729742614483494, 'mfdfa_asymmetry': 0.3295867614200321, 'mfdfa_hurst_q2': 0.5298949066798297, 'mfdfa_h_range': 0.3399566901561184}"
42,1,real,True,73,19,0.0,"{'0.0': 0.7277720045510854, '0.25': 0.7260637188079877, '0.5': 0.7242387882443354, '0.75': 0.7222984606429608, '1.0': 0.720244092356526}",-0.027996393138493524,0.021403270206110252,"{'ph_trunk_h1_max': 0.3897618288688439, 'ph_trunk_h1_med': 0.4694997266577779, 'ph_sacrum_h1_max': 0.24446322449824798, 'ph_sacrum_h1_med': 0.5211141511546908, 'mfdfa_delta_alpha': 0.35607217520699386, 'mfdfa_asymmetry': 0.295083240941977, 'mfdfa_hurst_q2': 0.532921945024223, 'mfdfa_h_range': 0.33033396618694644}"
42,2,real,True,74,18,0.25,"{'0.0': 0.7478658664654831, '0.25': 0.7484772318439881, '0.5': 0.7484255634828619, '0.75': 0.747696291175729, '1.0': 0.7462781354460541}",-0.32867614152587793,0.14010180205046466,"{'ph_trunk_h1_max': 0.428534931377282, 'ph_trunk_h1_med': 0.47894162858490946, 'ph_sacrum_h1_max': 0.24982090166980506, 'ph_sacrum_h1_med': 0.554610594158233, 'mfdfa_delta_alpha': 0.3625843178262495, 'mfdfa_asymmetry': 0.35271328570227517, 'mfdfa_hurst_q2': 0.5277094520322575, 'mfdfa_h_range': 0.3476234905491955}"
42,3,real,True,74,18,0.0,"{'0.0': 0.7026771076586795, '0.25': 0.7017020983931168, '0.5': 0.7006644300236488, '0.75': 0.699564539533475, '1.0': 0.6984028964763019}",-0.05420736651019173,0.004887216801064363,"{'ph_trunk_h1_max': 0.41299777586783265, 'ph_trunk_h1_med': 0.43497337804139036, 'ph_sacrum_h1_max': 0.2519522655728013, 'ph_sacrum_h1_med': 0.5562464066274329, 'mfdfa_delta_alpha': 0.37213661180917207, 'mfdfa_asymmetry': 0.3215827324698731, 'mfdfa_hurst_q2': 0.5518841408048766, 'mfdfa_h_range': 0.31822543891548566}"
42,4,real,True,74,18,0.0,"{'0.0': 0.7413229156845401, '0.25': 0.7353095338785481, '0.5': 0.7282605592812489, '0.75': 0.7201890751946394, '1.0': 0.7111165218737906}",0.20531110341943937,0.306647136991636,"{'ph_trunk_h1_max': 0.4395501224434931, 'ph_trunk_h1_med': 0.45727938365579446, 'ph_sacrum_h1_max': 0.2792250888161429, 'ph_sacrum_h1_med': 0.5064424011465215, 'mfdfa_delta_alpha': 0.3830967791538481, 'mfdfa_asymmetry': 0.33987186450320106, 'mfdfa_hurst_q2': 0.5243159033812482, 'mfdfa_h_range': 0.3421207699750131}"
