sid,nl_i12_ap_lyap_mean,nl_i12_ap_lyap_std,nl_i12_ap_apen_mean,nl_i12_ap_apen_std,nl_i12_ap_freq_centroid_std_mean,nl_i12_ap_freq_centroid_std_std,nl_i12_ap_dom_freq_std_mean,nl_i12_ap_dom_freq_std_std,nl_i12_ap_freq_drift_slope_mean,nl_i12_ap_freq_drift_slope_std,nl_i12_ap_rqa_rr_mean,nl_i12_ap_rqa_rr_std,nl_i12_ap_rqa_det_mean,nl_i12_ap_rqa_det_std,nl_i12_ap_rqa_avgline_mean,nl_i12_ap_rqa_avgline_std,nl_i12_ap_rqa_lmax_mean,nl_i12_ap_rqa_lmax_std,nl_i12_ap_rqa_lam_mean,nl_i12_ap_rqa_lam_std,nl_i12_ap_rqa_tt_mean,nl_i12_ap_rqa_tt_std,nl_i12_ml_lyap_mean,nl_i12_ml_lyap_std,nl_i12_ml_apen_mean,nl_i12_ml_apen_std,nl_i12_ml_freq_centroid_std_mean,nl_i12_ml_freq_centroid_std_std,nl_i12_ml_dom_freq_std_mean,nl_i12_ml_dom_freq_std_std,nl_i12_ml_freq_drift_slope_mean,nl_i12_ml_freq_drift_slope_std,nl_i12_apen_ratio_ap_ml_mean,nl_i12_apen_ratio_ap_ml_std,nl_i10_ap_rqa_rr_mean,nl_i10_ap_rqa_rr_std,nl_i10_ap_rqa_det_mean,nl_i10_ap_rqa_det_std,nl_i10_ap_rqa_avgline_mean,nl_i10_ap_rqa_avgline_std,nl_i10_ap_rqa_lmax_mean,nl_i10_ap_rqa_lmax_std,nl_i10_ap_rqa_lam_mean,nl_i10_ap_rqa_lam_std,nl_i10_ap_rqa_tt_mean,nl_i10_ap_rqa_tt_std,nl_i10_ap_lyap_mean,nl_i10_ap_lyap_std,nl_i10_ap_mfdfa_h_q-3_mean,nl_i10_ap_mfdfa_h_q-3_std,nl_i10_ap_mfdfa_h_q3_mean,nl_i10_ap_mfdfa_h_q3_std,nl_i10_ap_mfdfa_width_mean,nl_i10_ap_mfdfa_width_std,nl_i10_ap_mfdfa_h_var_mean,nl_i10_ap_mfdfa_h_var_std,nl_i10_ml_rqa_rr_mean,nl_i10_ml_rqa_rr_std,nl_i10_ml_rqa_det_mean,nl_i10_ml_rqa_det_std,nl_i10_ml_rqa_avgline_mean,nl_i10_ml_rqa_avgline_std,nl_i10_ml_rqa_lmax_mean,nl_i10_ml_rqa_lmax_std,nl_i10_ml_rqa_lam_mean,nl_i10_ml_rqa_lam_std,nl_i10_ml_rqa_tt_mean,nl_i10_ml_rqa_tt_std,nl_i10_ml_lyap_mean,nl_i10_ml_lyap_std,nl_i10_n_strides_dfa_mean,nl_i10_n_strides_dfa_std
NLS002,0.04532132805430128,0.013600307129286157,0.36763042571007953,0.04480632620052158,1.9512069445542615,1.3867644982558192,1.5201996113796536,0.8435197252295057,-0.0194387097610092,0.0082416577503662,0.1,0.0,0.6754769846564377,0.011034022681787825,4.448431702440764,1.4520422312085253,96.0,74.0,0.7281721147431621,0.05149877696241939,4.423816593989471,1.488597827109311,0.038858393758597926,0.018894930913459035,0.3404153596194935,0.13374688483871508,1.448682380834502,0.25899261382849925,1.9453284729294062,0.1566194362671509,0.016006981256139453,0.027272759654580238,1.2159302142284334,0.34610821399333835,0.1,0.0,0.8329597509450746,0.10993769027783643,14.017132925520945,10.004383632711834,254.5,85.91129145810811,0.8906359795419168,0.07218349729407918,17.616564268386828,13.611301417724937,0.029150934435059464,0.018845100371366847,1.017923506378024,0.26558639515628435,0.6048649985882383,0.20125321285847617,0.414217025759377,0.12312661241615608,0.03082702932375415,0.015015015723218214,0.1,0.0,0.8369557482766288,0.09062524228419387,12.344084726018128,7.32617322846744,253.75,100.09089618941375,0.8972214809873249,0.05829254729134092,15.371412399059457,9.326330919363333,0.0573541049651783,0.011379379697599125,0.0,0.0
NLS005,0.0673374688563248,0.021480418416557054,0.3757332883164277,0.0016127540349395453,1.4417031437141035,1.0193799764769993,2.2114980428250246,0.9386787460702345,0.014198803751082564,0.040932670788751485,0.1,0.0,0.7578296642205915,0.02823215476984653,4.701478437557428,1.1398197315218233,127.0,80.0,0.7990349121636646,0.06346008450077828,5.196693241567672,1.0362565559511299,0.028484754152926957,0.01996807908659319,0.32757678581313804,0.026425324795946503,1.2988832613273567,0.6848011203077712,1.2199328170466117,0.05305091602392842,0.024741699251349777,0.014126894620122999,1.1549210986014935,0.0980897321506311,0.1,0.0,0.8485034467422725,0.041211725098961476,7.3893290135319285,1.4805903549401398,213.75,50.74137857804023,0.8871514342895263,0.018285169827931855,8.375983646007501,2.509169784329119,0.05512633852935384,0.021020845685579628,1.2165383462495234,0.04753858047510234,0.5563319429365862,0.045545579470799465,0.6602064033129372,0.010435907641126608,0.06884602101058993,0.0047768247361717345,0.1,0.0,0.8083010896152991,0.05401789251895493,5.981246690647637,0.2724450947888094,207.25,36.45116596214722,0.8665943962641761,0.026908003174763873,7.154184036235187,1.0207596727448474,0.06084049814560874,0.010968973858201309,0.0,0.0
NLS022,0.054854178791375566,0.013548570920370113,0.23910201207901266,0.025872947554610545,1.7389143802104488,0.7916988649005893,1.5306116816616735,0.6846280112378482,-0.015277711152888358,0.004491095370222177,0.1,0.0,0.7306337558372249,0.05814098287747388,4.438962417475626,0.06772051183270333,114.0,42.0,0.7752434956637759,0.017115855014454062,4.525986119146994,0.002328236282041818,0.05701385766736729,0.02244624944563384,0.1762359506328898,0.08788796480645986,2.0871895383290755,1.1904861518847314,1.420895096833842,1.0724717222874642,-0.016181107869196975,0.015768933644002166,1.903262970651061,1.095956051208677,0.1,0.0,0.8298999332888592,0.10759448654842749,10.594281587315356,5.026765454516561,209.5,50.12235030403104,0.8806270847231488,0.07993853356435188,13.256341842526064,8.206774816615948,0.04669611825759218,0.015680523328183222,1.1804008301968492,0.13932703447682399,0.5394272712727065,0.08084938453948125,0.6409735589241429,0.12404103091636476,0.0739461314273352,0.028939099548553823,0.1,0.0,0.7964554147209251,0.1073437450310192,9.084657913366998,5.2369409466401615,221.25,51.30484869873412,0.8549688681343117,0.0853934153653579,12.0281323164186,7.871938747102087,0.07063721063401537,0.004646719200414992,0.0,0.0
NLS033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,1.3877787807814457e-17,0.858604995923208,0.04357984379747716,8.41686407459894,4.40271208386419,183.33333333333334,101.7065495542063,0.8682618041657401,0.04499806622263506,10.438155562005917,5.557591503059623,0.06404430698688106,0.005858220077194455,1.017874688948189,0.12167548888129655,0.4941047804723369,0.11135587342719282,0.523769908475852,0.0863813038014896,0.044999616138438454,0.01560765609963824,0.10000000000000002,1.3877787807814457e-17,0.8435342079905123,0.021002928472943716,8.011883933923574,3.1163707852379114,193.0,97.80593029055038,0.8531761915350975,0.02800439796228957,10.729967063527335,4.2317551157612225,0.06976280308094378,0.008724356749795796,0.0,0.0
NLS035,0.0451757078159095,0.012426387898754051,0.2977470559953122,0.12674572797198114,1.024303892241219,0.549318220320733,1.44762045566042,0.5587876233961422,-0.016221256250600793,0.007540412700624223,0.1,0.0,0.7375895041138537,0.035717144763175446,4.034236226628336,0.2963713141213491,82.0,29.0,0.7787747387146987,0.013602401601067404,3.859990105123101,0.27129960410103293,0.037630802530085015,0.018413855063671394,0.23063072330311385,0.17384134753073877,1.5312812001666356,0.9377216833245131,1.4942921430128564,0.3548064775536065,-0.01747620828004672,0.0018657777898043537,2.0303241837379535,0.9808258015822554,0.1,0.0,0.8764064932177007,0.10453327574877833,15.019631887375464,6.730018296968574,203.25,100.87213440787302,0.9145597064709807,0.07302837370031083,19.332088142458506,11.904579591658335,0.04808504771782275,0.020138542101382335,1.1937582744914703,0.13913386051127902,0.5281015842797381,0.1360001828430758,0.6656566902117323,0.18802610679306797,0.08487092674510038,0.04061049520109055,0.1,0.0,0.8458305537024684,0.07983355101737101,14.044799982482846,7.061971126406141,277.25,95.97232674057663,0.893032021347565,0.05936595420461884,18.018251935728184,10.374412107523073,0.045106542386464374,0.010890619559446223,0.0,0.0
NLS036,0.0630388861260688,0.0010373920104188444,0.48386416095082635,0.05485163610382632,1.9442003183571384,0.15773052706924007,1.259650488070931,0.05697752109260967,0.008912252805342726,0.015924234080883372,0.1,0.0,0.7824104958861463,0.07924838781409826,5.054749662192249,0.3360127195551086,135.0,24.0,0.852759617522793,0.03202134756504338,5.672528837035863,0.7605511953004354,0.06271441262378769,0.00937247299670911,0.38121123809193114,0.03164859308635162,1.7655545220489746,0.10425870311282315,1.77387961596701,1.0516597998093768,0.05017539416017857,0.03431747297636253,1.2660615609925698,0.0387778938829092,0.1,0.0,0.7784678674672003,0.06638521743769779,6.598854206402189,1.8787554466479277,259.0,64.85753618508801,0.8502368245496998,0.03843028507838565,8.191262041906892,3.068366908637671,0.05310786095286603,0.011356609493079328,1.2443662961042345,0.07008323092405636,0.6015398239668635,0.0828322134809344,0.6428264721373711,0.13570239746230492,0.0686696374062569,0.027448197053205746,0.1,0.0,0.8139826551034023,0.04902908138652225,7.418359720269702,1.9864620378072912,259.25,65.33136689217515,0.872230375806093,0.025746013551239358,9.289214938057727,3.198380264661007,0.07996873409480461,0.012756378452519845,0.0,0.0
NLS056,0.041720223852566345,,0.7725873075813375,,1.1106400135653232,,1.8589270269126543,,0.027102865712712657,,0.1,,0.6912875250166778,,2.999073859689743,,20.0,,0.682770736046253,,3.13807693880054,,0.040996096075708054,,0.3700681648226327,,0.7493910898415045,,0.3647965085098461,,0.01741357525705822,,2.087689190859271,,0.1,0.0,0.8279163887035802,0.07513898154325105,7.703612631636885,3.6476843272182133,233.0,106.0,0.8542873026462086,0.07216144096064042,9.59667885996619,5.004288407153738,0.06761606778030943,0.005862097019097852,0.9828873897683825,0.04790965391362395,0.45715918602619715,0.10688021127949981,0.5257282037421853,0.058970557365875864,0.04407319470372445,0.011629748049352549,0.1,0.0,0.8320435846119635,0.04217478318879253,7.2119311307158664,3.2138671083845893,245.5,103.5,0.8515521458750278,0.04221258616855683,9.166386720159348,4.58031278049049,0.04714276381817305,0.004872795511363898,0.0,0.0
NLS069,0.06707893986859477,0.01041987455090539,0.2564993558231888,0.021438025874692956,1.3305206854098777,0.11275646135772,0.9070081350381751,0.0014081928691746515,0.0010910488781607757,0.027478581812245627,0.1,0.0,0.8121369802090282,0.021681120747164773,4.178089685887041,0.0012237336403777554,110.5,63.5,0.8326417611741161,0.029808761396486527,4.719408696761951,0.10144856054877183,0.05820941764763317,0.0017758860579577401,0.16103045707752275,0.006969267555933634,1.4619255514115435,0.0020842667025259276,1.5498406116455632,1.0293395484151606,-0.004572513386804809,0.021847706263173894,1.5900789606442967,0.06431292782033327,0.1,0.0,0.7966822325995108,0.020596295221586593,4.9243467840866835,0.7499012281928289,172.75,39.983590384056306,0.8226628863686902,0.021120792438353454,5.868748581124793,1.0449229788443837,0.0424744669269055,0.0209984673897144,1.1822586892836071,0.11651577284126641,0.6160597683132549,0.12985555098097606,0.5661989209703521,0.019623946746524554,0.049632178833723437,0.00438138576920998,0.1,0.0,0.7859973315543697,0.055345698968283105,4.924947367032941,0.8193196936023911,178.75,32.606556089228434,0.818152101400934,0.03886093163497941,6.051264363954465,1.1037906250437173,0.07433636356728679,0.013642898368593502,0.0,0.0
NLS101,0.042223902823894974,0.006475330206512347,0.19445291459440972,0.015482428009485794,2.2870615552445352,1.116583743326375,2.291491725925128,1.277149666536333,-0.0707562229963066,0.018637055342554474,0.1,0.0,0.6524216144096064,0.03907049143873692,4.471991417932192,1.3613560146031265,132.5,108.5,0.7151122970869468,0.01455192350455864,5.064841540246663,1.5763906488725075,0.03823583665783218,0.018285019350624283,0.10346310570002015,0.006680037590938909,2.4754230435684668,0.9916052535514889,1.962562500614173,0.052576232465028405,-0.04818015459011072,0.005338569324604421,1.8970114528808582,0.27212150297133475,0.1,0.0,0.7490482543918167,0.07916769881736582,6.0038949736513585,2.173235222137813,232.25,40.34460930533347,0.8165988436735602,0.054461420678424834,7.4854217004621475,2.306316328965951,0.05879019417252654,0.007513545324655612,1.2362285029500844,0.08498836045959669,0.5780793456470598,0.11025122331207655,0.6581491573030245,0.08362245598484536,0.07432756431826425,0.021354881983198116,0.1,0.0,0.7556682232599511,0.021530084757753854,5.587203057362192,0.9382759150751273,231.5,39.702015062210634,0.8197809650878364,0.02004865793600539,6.895113716214505,1.0300962535844953,0.06004647698930501,0.008506111390636915,0.0,0.0
NLS102,0.052783863480379514,0.020028133462569726,0.47480765739426106,0.1301755894684175,3.1012707706000504,0.4602905968010762,2.1220833895230484,0.3941004351637636,-0.060802799799361026,0.006156344899564362,0.1,0.0,0.678283299977763,0.027440515899488538,3.451059267767355,0.3404441251409891,93.5,58.5,0.7009428507894151,0.006012897487213731,4.159883754924692,0.5749845877418163,0.02670284715555397,0.030183412637635593,0.24417510795573458,0.16406442279300829,2.9121838919356557,1.7689968339915076,1.9487943563006125,0.02237103162661591,-0.024964032599038632,0.008269621194460227,4.198016476966082,3.353825647886493,0.1,0.0,0.8334734267289304,0.0757079787245791,8.054773874997718,2.6065918686298777,222.0,52.730446612938906,0.8622081387591728,0.09033681223963193,10.098981263115213,3.5886447098569674,0.0697494794792008,0.009517739742643227,1.2011363523044523,0.20251112846433972,0.47766277820974723,0.04164642044566092,0.7234735740947051,0.17457443774886403,0.0975395651829031,0.04520884908606908,0.1,0.0,0.7967400489215033,0.02721963984962032,6.215214386498089,1.4742857664791906,228.75,55.02896964327063,0.84130642650656,0.05442035455510948,7.60868013475023,2.06579836072709,0.06879961300200148,0.011723986191102476,0.0,0.0
