item,variant,eval,ccc_mean,ccc_std,mae_mean
9,v2_baseline_cccv2,5split,0.25193333333333334,0.020149827680542465,0.3511666666666666
9,item_plus_v2_cccv2,5split,0.24356666666666663,0.022485896814571457,0.3525666666666667
9,hy_residual_cccv2,5split,0.2840333333333333,0.08478413111478404,0.3700333333333334
10,v2_baseline_cccv2,5split,0.49653333333333327,0.031249675553871276,0.5087666666666667
10,item_plus_v2_cccv2,5split,0.48713333333333325,0.025675453041550948,0.5134333333333333
10,hy_residual_cccv2,5split,0.5129,0.007000476174280351,0.5311333333333333
11,v2_baseline_cccv2,5split,0.05316666666666666,0.07938872016154995,0.4324666666666667
11,item_plus_v2_cccv2,5split,0.04883333333333334,0.06417529812076364,0.4326666666666667
11,hy_residual_cccv2,5split,0.11210000000000002,0.06292365744826556,0.4333666666666667
12,v2_baseline_cccv2,5split,0.6104333333333333,0.018245425606314446,0.5334
12,item_plus_v2_cccv2,5split,0.6170333333333334,0.01862119461497809,0.528
12,hy_residual_cccv2,5split,0.5112333333333333,0.02052905799646498,0.5800666666666667
13,v2_baseline_cccv2,5split,0.1328,0.05428541854556034,0.6343333333333333
13,item_plus_v2_cccv2,5split,0.13866666666666666,0.02682440845366191,0.6299
13,hy_residual_cccv2,5split,0.13536666666666666,0.06386080348869894,0.6539
14,v2_baseline_cccv2,5split,0.2503666666666666,0.04623248016516335,0.6019333333333333
14,item_plus_v2_cccv2,5split,0.2548333333333333,0.04047108707322907,0.5996333333333334
14,hy_residual_cccv2,5split,0.18003333333333335,0.08633721998973302,0.6309666666666667
18,v2_baseline_cccv2,5split,0.4177,0.05036275078534398,0.9367333333333333
18,item_plus_v2_cccv2,5split,0.4116666666666666,0.057792290912273836,0.9364666666666667
18,hy_residual_cccv2,5split,0.44236666666666663,0.03889424407572697,0.9511999999999999
