weight_scheme,seed,feature_set,alpha,enable_ccc,ccc,mae,r,slope,q1_residual,q2_residual,q3_residual,q4_residual,wall_time_s
abs_z,7,A3_tier1,1.0,False,0.4678,8.005,0.49,0.3605,9.429,0.031,-2.387,-7.995,13.5
abs_z,42,A3_tier1,1.0,False,0.4868,8.018,0.5029,0.3891,9.967,-0.527,-1.415,-8.675,13.4
abs_z,1337,A3_tier1,1.0,False,0.4682,7.899,0.4987,0.3482,9.722,0.544,-3.0,-8.927,13.0
inv_density,7,A3_tier1,1.0,False,0.4662,7.955,0.4919,0.3537,9.553,-0.2,-2.407,-8.522,13.0
inv_density,42,A3_tier1,1.0,False,0.5016,7.808,0.521,0.3954,9.414,-0.734,-1.905,-8.486,13.1
inv_density,1337,A3_tier1,1.0,False,0.4451,7.975,0.4765,0.3281,10.03,0.424,-2.607,-9.366,13.4
quartile_balanced,7,A3_tier1,1.0,False,0.4682,8.032,0.4885,0.3645,9.515,-0.402,-2.459,-8.358,12.1
quartile_balanced,42,A3_tier1,1.0,False,0.5118,7.678,0.5328,0.4005,9.511,-0.549,-1.444,-8.166,12.2
quartile_balanced,1337,A3_tier1,1.0,False,0.4473,7.948,0.479,0.3294,9.81,0.528,-2.64,-9.556,12.4
tail_focused,7,A3_tier1,1.0,False,0.4728,7.809,0.4958,0.3651,9.914,0.537,-1.974,-7.552,11.7
tail_focused,42,A3_tier1,1.0,False,0.5294,7.642,0.5547,0.4078,9.513,0.207,-1.869,-8.3,13.3
tail_focused,1337,A3_tier1,1.0,False,0.4491,8.071,0.4723,0.343,9.662,0.789,-2.729,-9.182,13.2
uniform,7,A3_tier1,1.0,False,0.4662,7.955,0.4919,0.3537,9.553,-0.2,-2.407,-8.522,13.0
uniform,42,A3_tier1,1.0,False,0.5016,7.808,0.521,0.3954,9.414,-0.734,-1.905,-8.486,13.2
uniform,1337,A3_tier1,1.0,False,0.4451,7.975,0.4765,0.3281,10.03,0.424,-2.607,-9.366,12.9
