model,label,target,status,source,group,nominal_coverage,alpha,n,empirical_coverage,mean_interval_width,median_interval_width,min_q,max_q
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,NLS,0.8,0.19999999999999996,68,0.7794117647058824,25.933428961421924,26.01910613334561,12.81535147697912,13.009553066672805
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,WPD,0.8,0.19999999999999996,27,0.8518518518518519,25.96156492158452,26.01910613334561,12.81535147697912,13.009553066672805
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,all,0.95,0.050000000000000044,95,0.9578947368421052,34.72410274521873,34.798327955452656,16.51773960619835,17.399163977726328
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,NLS,0.95,0.050000000000000044,68,0.9411764705882353,34.69463097056702,34.798327955452656,16.51773960619835,17.399163977726328
t3_iter47_stage2_current,T3 iter47 valid-range current,T3_total_UPDRS_III_validrange,corrected_audit_truth,results/iter47_invalidcode_subject_preds_20260508_194605.csv,WPD,0.95,0.050000000000000044,27,1.0,34.798327955452656,34.798327955452656,17.399163977726328,17.399163977726328
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,all,0.5,0.5,95,0.5052631578947369,13.90576010832708,14.055375947964645,6.876480476476271,7.027687973982324
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,NLS,0.5,0.5,68,0.4852941176470588,13.899721171120182,13.752960952952545,6.876480476476271,7.027687973982324
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,WPD,0.5,0.5,27,0.5555555555555556,13.920969283514824,14.055375947964649,6.876480476476271,7.027687973982324
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,all,0.8,0.19999999999999996,95,0.8,26.217714652899335,26.314926070919483,12.914434490409334,13.157463035459742
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,NLS,0.8,0.19999999999999996,68,0.7794117647058824,26.207707595161953,26.314926070919483,12.914434490409334,13.157463035459742
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,WPD,0.8,0.19999999999999996,27,0.8518518518518519,26.242917613126767,26.314926070919483,12.914434490409334,13.157463035459742
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,all,0.95,0.050000000000000044,95,0.9578947368421052,35.34522994442901,35.38036663307008,17.272935138922257,17.69018331653504
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,NLS,0.95,0.050000000000000044,68,0.9411764705882353,35.33127861217446,35.38036663307008,17.272935138922257,17.69018331653504
t3_iter47_stage2_no_cv,T3 iter47 valid-range no-cv,T3_total_UPDRS_III_validrange,sensitivity,results/iter47_invalidcode_subject_preds_20260508_194605.csv,WPD,0.95,0.050000000000000044,27,1.0,35.380366633070075,35.38036663307008,17.69018331653504,17.69018331653504
