timestamp	name	description	ccc_mean	ccc_std	slope_mean	mae_mean	improvement	wilcoxon_p	status	runtime_s
2026-03-14T20:36	C13_all	ALL features (kitchen sink)	0.5070	0.1188	0.3510	1.7985	-0.0075	0.4375	DISCARD	39.3
2026-03-14T20:38	D14_v2_k200	v2-only K=200	0.5025	0.1169	0.3474	1.8042	-0.0120	0.8125	DISCARD	18.4
2026-03-14T20:40	D15_v2_k400	v2-only K=400	0.4905	0.1017	0.3302	1.7842	-0.0240	0.1875	DISCARD	21.2
2026-03-14T20:42	D16_v2fm_k50	v2+fm K=50	0.4962	0.1392	0.3361	1.7962	-0.0183	0.8125	DISCARD	19.0
2026-03-14T20:44	D17_v2fm_k500	v2+fm K=500	0.5442	0.1270	0.3690	1.6928	+0.0297	0.1875	KEEP	20.9
2026-03-14T20:46	D18_v2fm_k600	v2+fm K=600	0.5349	0.1266	0.3694	1.7281	-0.0093	0.4375	DISCARD	21.2
2026-03-14T20:48	D19_v2fm_k450	v2+fm K=450	0.5286	0.1299	0.3560	1.7217	-0.0156	0.3125	DISCARD	21.1
2026-03-14T20:50	E20_v2fm_velg_k500	v2+fm+velincg K=500	0.4797	0.1646	0.3307	1.8299	-0.0645	0.0625	DISCARD	32.0
2026-03-14T20:52	E21_v2extras_fm_k500	v2+extras+fm K=500	0.5220	0.1272	0.3773	1.7922	-0.0222	0.1875	DISCARD	25.1
2026-03-14T20:54	F22_k500_leaf8	K=500 min_leaf=8	0.5622	0.1425	0.3865	1.6462	+0.0180	0.6250	DISCARD	25.5
2026-03-14T20:56	F23_k500_leaf5	K=500 min_leaf=5	0.5284	0.1340	0.3551	1.7087	-0.0158	0.8125	DISCARD	27.2
2026-03-14T20:58	F24_k500_leaf8_reg03	K=500 leaf=8 reg=0.3	0.5696	0.1430	0.3941	1.6373	+0.0254	0.3125	DISCARD	25.5
2026-03-14T21:00	F25_k500_leaf8_reg01	K=500 leaf=8 reg=0.1	0.5544	0.1444	0.3758	1.6435	+0.0102	0.8125	DISCARD	23.6
2026-03-14T21:05	G26_best_10split	10-split K=500 leaf=8 reg=0.3	0.6113	0.1419	0.4331	1.6028	N/A	N/A	INFO	44.7
2026-03-14T21:15	G26_loocv	LOOCV K=500 leaf=8 reg=0.3	0.5911	N/A	0.4015	1.6615	N/A	N/A	LOOCV	552.2
2026-03-14T21:20	F27_col06	K=500 leaf=8 reg=0.3 col=0.6	0.5541	0.1415	0.3753	1.6463	+0.0099	1.0000	DISCARD	26.2
2026-03-14T21:22	F28_sub08	K=500 leaf=8 reg=0.3 sub=0.8	0.5696	0.1430	0.3941	1.6373	+0.0254	0.3125	DISCARD	24.0
2026-03-14T21:24	F29_depth5_leaves63	K=500 leaf=8 reg=0.3 d=5 l=63	0.5663	0.1344	0.3891	1.6413	+0.0221	0.3125	DISCARD	23.9
2026-03-14T21:26	F30_slow_lr	K=500 leaf=8 reg=0.3 lr=0.01	0.5579	0.1430	0.3797	1.6434	+0.0137	0.8125	DISCARD	36.4
2026-03-14T21:30	F31_v2fm_fq_k500	v2+fm+freq K=500 leaf=8 reg=0.3	0.5407	0.1587	0.3677	1.6667	-0.0035	1.0000	DISCARD	27.6
2026-03-14T21:32	F32_v2fm_k700	v2+fm K=700 leaf=8 reg=0.3	0.5643	0.1426	0.3917	1.6523	+0.0201	0.6250	DISCARD	26.1
